x,y,z,signal,cytoplasm.p
694,751,11,0.0347110786990559,1
694,752,11,0.0381261026430962,1
693,751,12,0.0397492542827131,1
693,752,12,0.0456988818696292,1
694,750,12,0.0355441233129508,1
694,751,12,0.0651098530418836,1
694,752,12,0.0706710653108097,1
694,753,12,0.0458867575101035,1
695,750,12,0.0370381647595943,1
695,751,12,0.0632577368955822,1
695,752,12,0.0655844555445003,1
695,753,12,0.0414401933662864,1
696,751,12,0.0376986367185995,1
696,752,12,0.0376604929772826,1
693,750,13,0.0345659744367358,1
693,751,13,0.0567169061039597,1
693,752,13,0.0616203524296242,1
694,750,13,0.0574842423571151,1
694,751,13,0.098507452693946,1
694,752,13,0.10081778361821,1
694,753,13,0.0610889294283224,1
695,750,13,0.0604921188224577,1
695,751,13,0.0986197056918615,1
695,752,13,0.096799682659002,1
695,753,13,0.0570747125348155,1
696,750,13,0.0378773358164605,1
696,751,13,0.0546029304470907,1
696,752,13,0.0527389404903282,1
693,750,14,0.0441207906408806,1
693,751,14,0.0650568932811775,1
693,752,14,0.0640870024185249,1
694,750,14,0.0758626906493066,1
694,751,14,0.114999557239838,1
694,752,14,0.107992772698503,1
694,753,14,0.0623680584047776,1
695,749,14,0.0390035282479584,1
695,750,14,0.0835981340808406,1
695,751,14,0.121165039153715,1
695,752,14,0.10912221934721,1
695,753,14,0.0617184455003297,1
696,750,14,0.0539513755097924,1
696,751,14,0.0711679691155891,1
696,752,14,0.0622751149286876,1
693,750,15,0.0486278173239688,1
693,751,15,0.0641487508984672,1
693,752,15,0.0563157159422491,1
694,749,15,0.0392501285124201,1
694,750,15,0.0801471941929275,1
694,751,15,0.108583757205817,1
694,752,15,0.0933049508051003,1
695,749,15,0.0435434091114163,1
695,750,15,0.0874455985860788,1
695,751,15,0.114555595699973,1
695,752,15,0.0959628997776681,1
696,750,15,0.0597157664047772,1
696,751,15,0.0722937416480924,1
693,750,16,0.0458897113828926,1
693,751,16,0.0519202715850711,1
693,752,16,0.0415016502497046,1
694,749,16,0.039132580121627,1
694,750,16,0.0687975518115702,1
694,751,16,0.0821458026010037,1
694,752,16,0.0657475454804265,1
695,749,16,0.0412516878773201,1
695,750,16,0.0734215378604728,1
695,751,16,0.0869487764283261,1
696,750,16,0.0535107614980242,1
693,750,17,0.0423060221773853,1
693,751,17,0.0413730649304745,1
694,750,17,0.0517994631451386,1
694,751,17,0.0548072521315239,1
695,750,17,0.0509595776767884,1
693,750,18,0.0367409666662716,1
694,750,18,0.0357638004703429,1
