x,y,z,signal,cytoplasm.p
191,611,6,0.0820015151406646,1
191,612,6,0.0772154584246834,1
189,611,7,0.0866550034425715,1
189,612,7,0.0888783841295921,1
190,610,7,0.0835190855548065,1
190,611,7,0.103802858561977,1
190,612,7,0.107867580184293,1
190,613,7,0.0900199188310194,1
191,610,7,0.0876205987005188,1
191,611,7,0.107125080693261,1
191,612,7,0.108288796450417,1
191,613,7,0.0899620652155009,1
192,611,7,0.0961799861274089,1
192,612,7,0.0913117015715108,1
172,602,8,0.0776660810543988,1
174,601,8,0.0768269798366595,1
185,607,8,0.0773599326115357,1
186,606,8,0.0776702691753277,1
186,607,8,0.091865921048997,1
186,608,8,0.0895323128555747,1
187,606,8,0.0784558327800325,1
187,607,8,0.0927369670791955,1
187,608,8,0.0898569210009136,1
188,607,8,0.0807856812557355,1
188,608,8,0.0789343335887554,1
188,611,8,0.0789543982047476,1
188,612,8,0.0807800097087677,1
189,610,8,0.0867217704024791,1
189,611,8,0.114792315239287,1
189,612,8,0.121819432267279,1
189,613,8,0.0970051354674889,1
190,610,8,0.102766774990869,1
190,611,8,0.149929064101397,1
190,612,8,0.160645653510553,1
190,613,8,0.12061632259708,1
190,614,8,0.0787545193341565,1
191,610,8,0.101008595430843,1
191,611,8,0.14301054408998,1
191,612,8,0.150107855303555,1
191,613,8,0.113758840451903,1
192,611,8,0.105600457611357,1
192,612,8,0.104755045438874,1
192,613,8,0.0847089722722097,1
171,601,9,0.0824043995858684,1
171,602,9,0.0910960804814894,1
172,601,9,0.0840672114761931,1
172,602,9,0.0884854680516069,1
172,603,9,0.0851479832567237,1
173,600,9,0.0789796931763425,1
173,601,9,0.0854959937266424,1
173,602,9,0.0833211313016194,1
174,600,9,0.0818500394386716,1
174,601,9,0.0876577355041142,1
174,602,9,0.0833014247539815,1
175,601,9,0.0852101464806485,1
185,607,9,0.0895481445920936,1
185,608,9,0.090818718176675,1
185,609,9,0.0784527828049438,1
186,606,9,0.0865853399654413,1
186,607,9,0.115614363451656,1
186,608,9,0.117757504856941,1
186,609,9,0.0917936999407653,1
187,606,9,0.0845095921396835,1
187,607,9,0.113576634812224,1
187,608,9,0.116509815676642,1
187,609,9,0.0925211349846082,1
188,607,9,0.0892309343947161,1
188,608,9,0.0908572744655318,1
188,609,9,0.0808927820581155,1
188,611,9,0.0862360698622051,1
188,612,9,0.0898821967902753,1
188,613,9,0.0808011421357447,1
189,610,9,0.0951530269052561,1
189,611,9,0.136733311712825,1
189,612,9,0.151108080886618,1
189,613,9,0.119324578221055,1
189,614,9,0.0812197751944567,1
190,610,9,0.116764005843676,1
190,611,9,0.189462994658643,1
190,612,9,0.211649319107448,1
190,613,9,0.156025766087244,1
190,614,9,0.0925627476426314,1
191,604,9,0.0772288220471893,1
191,610,9,0.110570714919276,1
191,611,9,0.174094291674297,1
191,612,9,0.191972670177101,1
191,613,9,0.142232333674692,1
191,614,9,0.0862064333118151,1
192,603,9,0.0809552330155391,1
192,604,9,0.082817373885768,1
192,605,9,0.0818559731428273,1
192,611,9,0.112243073167688,1
192,612,9,0.118026056122611,1
192,613,9,0.0946214296748637,1
193,600,9,0.0781676964542025,1
193,604,9,0.0808684398041059,1
193,605,9,0.0832126749547555,1
170,601,10,0.0800381815959004,1
171,600,10,0.0789420448465268,1
171,601,10,0.0899378892075129,1
171,602,10,0.0944425873200834,1
172,600,10,0.0870941998553404,1
172,601,10,0.100082489997105,1
172,602,10,0.0991042152829712,1
172,603,10,0.0920865614900554,1
173,600,10,0.0888064507548592,1
173,601,10,0.10252942682464,1
173,602,10,0.0994039952243912,1
173,603,10,0.0865322371496941,1
173,604,10,0.0773122327914907,1
174,601,10,0.0968093424125827,1
174,602,10,0.0958662351260963,1
174,603,10,0.0832533988359709,1
175,602,10,0.0861910044021947,1
185,607,10,0.094848387464743,1
185,608,10,0.0988965292434425,1
185,609,10,0.0841126222164022,1
186,606,10,0.0885999540137928,1
186,607,10,0.125395998023463,1
186,608,10,0.134011608576044,1
186,609,10,0.103124536429363,1
186,610,10,0.0768582340887212,1
187,606,10,0.082776432605909,1
187,607,10,0.118416478510272,1
187,608,10,0.130030502308518,1
187,609,10,0.103785933438162,1
187,610,10,0.0807077502360694,1
188,607,10,0.0865734022222745,1
188,608,10,0.09372577283939,1
188,609,10,0.085734070817736,1
188,611,10,0.090577245830294,1
188,612,10,0.0955411218486148,1
188,613,10,0.0875865949950228,1
189,610,10,0.0964939609214429,1
189,611,10,0.14222006983356,1
189,612,10,0.163795670339766,1
189,613,10,0.13358777073804,1
189,614,10,0.0909667538648364,1
190,610,10,0.117293166930444,1
190,611,10,0.198785866939753,1
190,612,10,0.23448344036167,1
190,613,10,0.178885476440637,1
190,614,10,0.106316351344854,1
191,604,10,0.0796256484873658,1
191,610,10,0.107019846961585,1
191,611,10,0.176470382120317,1
191,612,10,0.207056056623906,1
191,613,10,0.15851742309459,1
191,614,10,0.0968825865732552,1
192,600,10,0.0848087198851726,1
192,601,10,0.0847388006449323,1
192,603,10,0.0840927366345871,1
192,604,10,0.0866726702794059,1
192,605,10,0.0840526713433804,1
192,611,10,0.107705886746049,1
192,612,10,0.120192203419655,1
192,613,10,0.0998397132588619,1
193,599,10,0.0833534917291325,1
193,600,10,0.0953326365493669,1
193,601,10,0.0923889438211213,1
193,602,10,0.0841190546586228,1
193,603,10,0.081733724770248,1
193,604,10,0.0838501005660549,1
193,605,10,0.0846022870848837,1
193,606,10,0.0821913361269485,1
194,600,10,0.0978376763614526,1
194,601,10,0.0936216964357876,1
194,603,10,0.0803141499917644,1
194,604,10,0.0786115861200429,1
194,605,10,0.0776660874484765,1
195,604,10,0.0784473606270084,1
170,605,11,0.0888110480967644,1
170,606,11,0.0831332349327394,1
171,600,11,0.087863234769051,1
171,601,11,0.0963757024533821,1
171,602,11,0.0938013124739761,1
171,603,11,0.0933525505208871,1
171,605,11,0.0835885699977595,1
172,599,11,0.081232870265697,1
172,600,11,0.101109794499456,1
172,601,11,0.116625203203791,1
172,602,11,0.111016484443976,1
172,603,11,0.100453340112761,1
172,604,11,0.0893912595003207,1
173,600,11,0.0961061792878941,1
173,601,11,0.115433283169662,1
173,602,11,0.116019607311551,1
173,603,11,0.103446024264758,1
173,604,11,0.087988015196421,1
174,601,11,0.0981978995198815,1
174,602,11,0.103393982865918,1
174,603,11,0.09487404689877,1
177,604,11,0.0863987863528897,1
183,610,11,0.0802694873586525,1
184,608,11,0.0821973721363483,1
184,609,11,0.0831458440540704,1
184,610,11,0.0826262165372335,1
184,611,11,0.0812402618195806,1
185,607,11,0.0969195954952955,1
185,608,11,0.105330288644016,1
185,609,11,0.09280397061998,1
185,610,11,0.0810411310560868,1
185,611,11,0.0778420780445785,1
186,606,11,0.0876868605282838,1
186,607,11,0.122667632257662,1
186,608,11,0.138496350771944,1
186,609,11,0.112997024451976,1
186,610,11,0.0861050424208695,1
186,611,11,0.0778531845576372,1
186,612,11,0.0770830498625529,1
187,607,11,0.112281156294791,1
187,608,11,0.131608356087725,1
187,609,11,0.112275951515499,1
187,610,11,0.0892667987768385,1
187,611,11,0.081614846076645,1
187,612,11,0.0811279818142198,1
187,613,11,0.0780912616487309,1
188,608,11,0.0926914923982088,1
188,609,11,0.0896966150775423,1
188,610,11,0.0872065949541008,1
188,611,11,0.0931781200797572,1
188,612,11,0.0988991891797882,1
188,613,11,0.0918649235728674,1
188,614,11,0.0796691729746375,1
189,610,11,0.0957244528459784,1
189,611,11,0.133778224738022,1
189,612,11,0.157339122446077,1
189,613,11,0.134028271542671,1
189,614,11,0.0967438926326925,1
190,610,11,0.11080893268008,1
190,611,11,0.180415106085423,1
190,612,11,0.222661276544374,1
190,613,11,0.180519751561945,1
190,614,11,0.115278610428792,1
190,615,11,0.0768033537193583,1
191,601,11,0.0905364835846121,1
191,611,11,0.157961521974655,1
191,612,11,0.196109318780071,1
191,613,11,0.161656672296865,1
191,614,11,0.106556410600051,1
192,600,11,0.102320429999171,1
192,601,11,0.117100948165002,1
192,602,11,0.108118777922938,1
192,604,11,0.0902144458585303,1
