x,y,z,signal,mito.p
720,187,5,0.0859922830840376,1
721,184,5,0.074807130316753,1
721,185,5,0.105785281876636,1
721,186,5,0.113947425995234,1
721,187,5,0.0850627520872021,1
722,185,5,0.0767050787926313,1
722,186,5,0.0846615243231052,1
722,187,5,0.068946012012133,1
723,186,5,0.0676557491872777,1
723,187,5,0.0634199586401506,1
719,187,6,0.0761856600048429,1
720,184,6,0.0804523611518955,1
720,185,6,0.114819737013161,1
720,186,6,0.128647892093075,1
720,187,6,0.09491314192808,1
721,184,6,0.0742093609782821,1
721,185,6,0.107881582562491,1
721,186,6,0.124094565383077,1
721,187,6,0.091932822745342,1
722,185,6,0.0755753525015482,1
722,186,6,0.0867559819246908,1
722,187,6,0.071659161852496,1
723,185,6,0.0604976706529897,1
723,186,6,0.073304899821361,1
723,187,6,0.0692135772282422,1
724,186,6,0.0614038321200474,1
724,187,6,0.0648111043698646,1
718,187,7,0.0944368668875737,1
719,184,7,0.0695882619829552,1
719,185,7,0.0830516810693751,1
719,186,7,0.083621440718726,1
719,187,7,0.0689687066096429,1
720,184,7,0.0764837853752769,1
720,185,7,0.106943459158706,1
720,186,7,0.120591874583878,1
720,187,7,0.0883199362739336,1
721,184,7,0.06905306016367,1
721,185,7,0.0935884640472926,1
721,186,7,0.108855607171145,1
721,187,7,0.0828549318235341,1
722,185,7,0.0688459727726093,1
722,186,7,0.0784472217503465,1
722,187,7,0.0676961283081546,1
723,186,7,0.0734035307887487,1
723,187,7,0.0701071291434092,1
724,187,7,0.0617090702382282,1
718,186,8,0.0676993601953607,1
719,184,8,0.0664575172709976,1
719,185,8,0.0724884978562075,1
719,186,8,0.0660028335733323,1
720,184,8,0.0672900072851151,1
720,185,8,0.0855389168022415,1
720,186,8,0.0931691364168947,1
720,187,8,0.0710778310085897,1
721,184,8,0.0621632477366925,1
721,185,8,0.0736207746124954,1
721,186,8,0.0819454605924701,1
721,187,8,0.0654890543638213,1
722,185,8,0.0607326184693035,1
722,186,8,0.06527292677421,1
723,186,8,0.065271349769007,1
723,187,8,0.0602534100693249,1
719,185,9,0.0600809324261967,1
720,185,9,0.0640581590173651,1
720,186,9,0.0639444718686154,1
723,177,9,0.0619257170065072,1
722,178,10,0.0609484540209142,1
723,177,10,0.0662358734080424,1
719,182,11,0.0658805864662997,1
720,181,11,0.0630689808813494,1
720,182,11,0.0608492065288586,1
722,178,11,0.0636653224784842,1
723,177,11,0.0657639854272778,1
719,183,12,0.0722869137590238,1
720,181,12,0.0637949613917976,1
720,182,12,0.0611382852110087,1
721,179,12,0.062015826954012,1
722,178,12,0.0678949283097329,1
723,177,12,0.0621311105771647,1
718,182,13,0.0865561435657772,1
718,183,13,0.0726749414054956,1
719,180,13,0.0937462619135929,1
719,181,13,0.0838778955113474,1
719,182,13,0.0802868015645138,1
719,183,13,0.069598003072707,1
720,178,13,0.0768717221654818,1
720,179,13,0.0763638096749152,1
720,180,13,0.0719298875687445,1
720,181,13,0.0632136565068247,1
721,177,13,0.0996168098007642,1
721,178,13,0.085522685979144,1
721,179,13,0.0723357295332501,1
721,180,13,0.0604065158584162,1
722,176,13,0.109644784704913,1
722,177,13,0.092525075810469,1
722,178,13,0.0770830862908173,1
722,179,13,0.0641687700325089,1
723,176,13,0.0612110221423472,1
717,182,14,0.0815305200218138,1
718,180,14,0.124016753480262,1
718,181,14,0.127189895620167,1
718,182,14,0.10505179923444,1
718,183,14,0.0704948842210804,1
719,179,14,0.0795221033049253,1
719,180,14,0.0964230108396199,1
719,181,14,0.0898154823439795,1
719,182,14,0.0744610717758278,1
720,177,14,0.0668108508030033,1
720,178,14,0.0758234744765537,1
720,179,14,0.0761847384627078,1
720,180,14,0.0669846069236006,1
721,176,14,0.0814199544348034,1
721,177,14,0.0897933328840707,1
721,178,14,0.0961003477874059,1
721,179,14,0.0805358321021876,1
722,176,14,0.075096170060503,1
722,177,14,0.0808913332051308,1
722,178,14,0.0837355626796099,1
722,179,14,0.0684108296620479,1
717,180,15,0.101133071099649,1
717,181,15,0.128834575762497,1
717,182,15,0.0930755220133832,1
718,179,15,0.0690134727902614,1
718,180,15,0.11968390897095,1
718,181,15,0.139951943264986,1
718,182,15,0.101694764010452,1
719,179,15,0.0621797576183239,1
719,180,15,0.0797182814542319,1
719,181,15,0.0770860456092229,1
720,178,15,0.0626786753384733,1
720,179,15,0.062727517071633,1
721,177,15,0.072639072649294,1
721,178,15,0.0882357125145734,1
721,179,15,0.0721216656788427,1
722,177,15,0.0613684046657133,1
722,178,15,0.0735474860538226,1
716,181,16,0.0654717462449884,1
717,180,16,0.092141058819205,1
717,181,16,0.142576923588114,1
717,182,16,0.0993061722244397,1
718,180,16,0.101766838988989,1
718,181,16,0.136427537818013,1
718,182,16,0.0923900374390121,1
719,180,16,0.0627110591078683,1
719,181,16,0.0632692994805306,1
721,178,16,0.0719975430388732,1
717,180,17,0.0670834325829886,1
717,181,17,0.112178830884402,1
717,182,17,0.0801088465864418,1
718,180,17,0.0694583699700413,1
718,181,17,0.0984806846326022,1
718,182,17,0.067583739106074,1
717,181,18,0.071914390085515,1
718,181,18,0.0600116739919315,1
740,168,31,0.0616409020791652,1
