x,y,z,signal,mito.p
147,267,3,0.240896825077077,1
146,267,4,0.220237511780164,1
147,268,4,0.211757403176294,1
142,271,5,0.174349684588576,1
142,272,5,0.166109138001428,1
143,271,5,0.190012759854115,1
143,272,5,0.177056785997461,1
143,281,5,0.220290390127465,1
143,282,5,0.226966560532702,1
143,283,5,0.197264881114315,1
143,286,5,0.21961005840137,1
144,270,5,0.183871719881096,1
144,271,5,0.200074416474328,1
144,272,5,0.188774518731759,1
144,273,5,0.1849424220474,1
144,274,5,0.180024515097508,1
144,280,5,0.241223076951831,1
144,281,5,0.284629918023765,2
144,282,5,0.279518370410305,2
144,283,5,0.223095252879469,2
144,284,5,0.188079117844835,1
144,285,5,0.224257797752081,1
144,286,5,0.250159803193904,2
145,269,5,0.158738682943402,1
145,270,5,0.181736402918366,1
145,271,5,0.188269799189998,1
145,272,5,0.185216301774054,1
145,273,5,0.193290633310753,1
145,274,5,0.195193838470641,1
145,280,5,0.255063731258169,1
145,281,5,0.28975278373218,2
145,282,5,0.24983209761888,2
145,283,5,0.19107176752093,1
146,267,5,0.203492688822166,1
146,268,5,0.20262732181892,1
146,269,5,0.173253581605957,1
146,270,5,0.163142499176583,1
146,281,5,0.238960522277126,1
147,270,5,0.154102352543913,1
148,276,5,0.293566955773038,1
148,277,5,0.294387907041267,1
141,271,6,0.204667486311335,1
141,272,6,0.213465968253678,1
141,273,6,0.173054139120777,1
142,270,6,0.184890789728902,1
142,271,6,0.243912033066282,2
142,272,6,0.247546776959598,2
142,273,6,0.195127578293181,1
142,281,6,0.205054391233938,1
142,282,6,0.21934922303874,1
142,283,6,0.194651244845075,1
142,286,6,0.212244898965755,1
143,269,6,0.162650213963913,1
143,270,6,0.210272565166268,1
143,271,6,0.251113508447452,2
143,272,6,0.240771417469905,2
143,273,6,0.206283949093078,1
143,274,6,0.194119372258996,1
143,275,6,0.178154005214215,1
143,280,6,0.209627576527974,1
143,281,6,0.265345389838801,2
143,282,6,0.295268148513342,2
143,283,6,0.254460731194622,2
143,284,6,0.21551626970958,1
143,285,6,0.250402934563967,1
143,286,6,0.297675242529123,2
143,287,6,0.268142023608923,2
144,269,6,0.192988380469911,1
144,270,6,0.241595587645874,2
144,271,6,0.260788948056797,2
144,272,6,0.244782747609805,2
144,273,6,0.230459828239083,1
144,274,6,0.233145487568994,1
144,275,6,0.207970345241354,1
144,276,6,0.192948351794635,1
144,277,6,0.217176486273539,1
144,278,6,0.233923970022208,1
144,279,6,0.21800044877804,1
144,280,6,0.24403211909211,2
144,281,6,0.334667501367517,2
144,282,6,0.368234530863926,2
144,283,6,0.311720505148383,2
144,284,6,0.260031985559357,2
144,285,6,0.300114110279364,2
144,286,6,0.348256379978975,2
144,287,6,0.295055363136404,2
145,268,6,0.166243267810217,1
145,269,6,0.21617159000336,1
145,270,6,0.241583516741851,2
145,271,6,0.246948709093394,1
145,272,6,0.242701879509846,1
145,273,6,0.234315897998421,1
145,274,6,0.238679646617925,1
145,275,6,0.220572226267201,1
145,276,6,0.203005439642572,1
145,277,6,0.217847680455083,1
145,278,6,0.228261132540499,1
145,279,6,0.211874244335449,1
145,280,6,0.24681707134221,2
145,281,6,0.319297035199068,2
145,282,6,0.324801575105009,2
145,283,6,0.28104306836254,2
145,284,6,0.2412414818356,2
145,285,6,0.257064204541443,2
145,286,6,0.274954192866153,2
145,287,6,0.23034415523193,1
146,267,6,0.186562532059283,1
146,268,6,0.226356992859009,1
146,269,6,0.234025495410668,1
146,270,6,0.216759248337278,1
146,271,6,0.209564522278787,1
146,272,6,0.214992353536583,1
146,273,6,0.209173113481242,1
146,274,6,0.216879853541775,1
146,275,6,0.228718243398436,1
146,276,6,0.229960222607199,1
146,277,6,0.229031256217165,1
146,280,6,0.214692346143479,1
146,281,6,0.244562434142186,2
146,282,6,0.232336840835188,2
146,283,6,0.207408606902418,1
146,284,6,0.181605297325316,1
147,272,6,0.189070567387522,1
147,276,6,0.276336064766916,1
147,277,6,0.2800413131233,1
147,281,6,0.188652187258193,1
148,275,6,0.200072638287392,1
148,276,6,0.290771645908519,1
148,277,6,0.3014117454413,1
148,278,6,0.210253472370765,1
149,276,6,0.231382694279773,1
