x,y,z,signal,mito.p
81,364,53,0.0684155282289902,1
81,365,53,0.0641422010641917,1
80,364,54,0.060071496353912,1
81,364,54,0.0743956422842366,1
81,365,54,0.0734942897095881,1
81,364,55,0.0664970851752062,1
81,365,55,0.070703808206678,1
81,366,55,0.0616930341071311,1
115,362,63,0.060707003491788,1
111,366,64,0.0715955494862416,1
111,367,64,0.077332000013291,1
110,366,65,0.0693508805166368,1
110,367,65,0.0789314402244679,1
110,368,65,0.0711935624233433,1
111,366,65,0.0960573143655907,1
111,367,65,0.102896454954605,1
111,368,65,0.0813934049356862,1
112,366,65,0.0680926964437092,1
112,367,65,0.0680856810419625,1
110,366,66,0.0824064198622806,1
110,367,66,0.0930082948656552,1
110,368,66,0.0812504101511475,1
111,365,66,0.064342221135639,1
111,366,66,0.104537215297994,1
111,367,66,0.112041118742807,1
111,368,66,0.091095666612949,1
112,366,66,0.0713197682677168,1
112,367,66,0.070103728523136,1
112,368,66,0.0642483017146602,1
110,366,67,0.0891093733970359,1
110,367,67,0.103470997537432,1
110,368,67,0.0871515506413103,1
110,369,67,0.0604598614665178,1
111,365,67,0.0663509558494614,1
111,366,67,0.101944845884928,1
111,367,67,0.112497918093543,1
111,368,67,0.0910952577597482,1
112,365,67,0.0601394503517747,1
112,366,67,0.0718511930621947,1
112,367,67,0.0748818531064952,1
112,368,67,0.0679603902499908,1
113,363,67,0.0618626432881205,1
113,364,67,0.06487355507385,1
113,365,67,0.0621710224372406,1
113,366,67,0.0608423274115122,1
114,361,67,0.0658708453765478,1
114,362,67,0.0620999923057721,1
114,363,67,0.0622823538127858,1
114,364,67,0.062934740747094,1
115,364,67,0.0619574258436342,1
116,364,67,0.0662492098100678,1
109,367,68,0.0664713663619572,1
109,368,68,0.0677747773865709,1
110,366,68,0.085692437934267,1
110,367,68,0.104982573248841,1
110,368,68,0.0895158059272759,1
110,369,68,0.0610249485078597,1
111,365,68,0.0635053570412465,1
111,366,68,0.0937637452552262,1
111,367,68,0.107954189699163,1
111,368,68,0.0864101245654994,1
112,364,68,0.0629939141357399,1
112,365,68,0.0736486804658819,1
112,366,68,0.0807594099056798,1
112,367,68,0.0861107012483963,1
112,368,68,0.0704772970437136,1
113,360,68,0.0616429398554357,1
113,361,68,0.069353833345309,1
113,362,68,0.0689330130762416,1
113,363,68,0.0804359486162642,1
113,364,68,0.0898307397070752,1
113,365,68,0.0911521921903899,1
113,366,68,0.0831078562012154,1
113,367,68,0.0789950980188557,1
113,368,68,0.0616932223093981,1
114,360,68,0.0626773709020709,1
114,361,68,0.0712371215135595,1
114,362,68,0.0750405530457305,1
114,363,68,0.0887508675475537,1
114,364,68,0.0904008303328268,1
114,365,68,0.0813527662254756,1
114,366,68,0.0649924145400762,1
115,363,68,0.0717333265251704,1
115,364,68,0.0819263158791003,1
115,365,68,0.0676568199932798,1
116,360,68,0.0603150365771755,1
116,363,68,0.0618274040360534,1
116,364,68,0.0851850965402349,1
116,365,68,0.0681007761617246,1
109,367,69,0.070094584488852,1
109,368,69,0.0771149184328779,1
109,369,69,0.0636986926873477,1
110,366,69,0.0750657981084452,1
110,367,69,0.0984238280787607,1
110,368,69,0.091039439563242,1
110,369,69,0.0614797425309919,1
111,365,69,0.0611654512347938,1
111,366,69,0.0842723025656979,1
111,367,69,0.0999989966872248,1
111,368,69,0.0829730449704255,1
112,364,69,0.0749437327139463,1
112,365,69,0.0904120770407148,1
112,366,69,0.0925890516017908,1
112,367,69,0.0945614438088775,1
112,368,69,0.0719754130481644,1
113,360,69,0.0692048615163589,1
113,361,69,0.0752681804428303,1
113,362,69,0.0775172754105769,1
113,363,69,0.0975179456702368,1
113,364,69,0.11367903658299,1
113,365,69,0.12137550988537,1
113,366,69,0.105137917995937,1
113,367,69,0.0934339759449986,1
113,368,69,0.0637628372117364,1
114,360,69,0.0677087767984453,1
114,361,69,0.0746505914587218,1
114,362,69,0.0882394700701805,1
114,363,69,0.116330533956569,1
114,364,69,0.120085623465048,1
114,365,69,0.108821626927347,1
114,366,69,0.0839792781256736,1
115,360,69,0.0604701476938707,1
115,361,69,0.0635812739419243,1
115,362,69,0.0657116522175782,1
115,363,69,0.0862749239507088,1
115,364,69,0.102649286970401,1
115,365,69,0.0908689088401175,1
116,360,69,0.0724384555223789,1
116,361,69,0.0748959228483886,1
116,363,69,0.0612325615673215,1
109,367,70,0.0673186334989029,1
109,368,70,0.0754802649285672,1
110,366,70,0.0653473250772849,1
110,367,70,0.0858113038902265,1
111,365,70,0.0637368977475537,1
111,366,70,0.0786384482331104,1
112,363,70,0.0644791155708328,1
112,364,70,0.0834181498216725,1
112,365,70,0.100166509684344,1
113,360,70,0.0666990326974571,1
113,361,70,0.0747957862628647,1
113,362,70,0.0812728516490568,1
113,363,70,0.102480923818214,1
113,364,70,0.121525760191789,1
114,360,70,0.0681588917238352,1
114,361,70,0.0759326707298282,1
114,362,70,0.0931494465659239,1
114,363,70,0.12458495559361,1
115,360,70,0.0669692651939714,1
115,361,70,0.0723697876538482,1
