x,y,z,signal,cytoplasm.p
196,753,42,0.0790578096242635,1
198,759,42,0.0779631371186956,1
202,758,42,0.0777180521183835,1
203,758,42,0.0858915953172844,1
203,759,42,0.0823245887073425,1
203,769,42,0.0803220083133241,1
204,758,42,0.0824350336123879,1
204,759,42,0.0789987794984383,1
204,768,42,0.0831663882258941,1
204,769,42,0.0863932874460212,1
207,758,42,0.0794406742120194,1
207,773,42,0.0931979161444837,1
207,774,42,0.108748620158021,1
207,775,42,0.0956829169168882,1
208,758,42,0.0786607885483602,1
208,773,42,0.110519575085399,1
208,774,42,0.12833672389963,1
208,775,42,0.102041251776275,1
209,773,42,0.0924087910384698,1
209,774,42,0.103934071431568,1
209,775,42,0.0840294480529778,1
214,776,42,0.0795481266886759,1
220,768,42,0.0826181599992634,1
220,769,42,0.0897542385062616,1
220,770,42,0.0772430168998033,1
221,767,42,0.0815013639846665,1
221,768,42,0.134233419133331,1
221,769,42,0.155184254302191,1
221,770,42,0.12759758129942,1
221,771,42,0.0822453277195036,1
222,768,42,0.152882399098895,1
222,769,42,0.184414192499593,1
222,770,42,0.154652279821211,1
222,771,42,0.0980929918861711,1
197,758,43,0.0788064967922191,1
197,759,43,0.0786242336058404,1
198,758,43,0.0832362627075901,1
198,759,43,0.0824269387099513,1
200,753,43,0.0778305111579214,1
200,754,43,0.076773103337504,1
201,753,43,0.0872547679358996,1
201,754,43,0.0821785479714405,1
202,753,43,0.0802564370459565,1
202,758,43,0.080460203515822,1
202,759,43,0.0800705228411803,1
203,758,43,0.0928027621392845,1
203,759,43,0.0934431546026618,1
203,768,43,0.0845771711474659,1
203,769,43,0.0936717173060574,1
204,758,43,0.083965283482716,1
204,759,43,0.084428707056095,1
204,768,43,0.0899128499990281,1
204,769,43,0.0971806209314483,1
205,769,43,0.0772862856239648,1
206,758,43,0.0812318152428675,1
206,759,43,0.0783661046869101,1
206,774,43,0.0848024281126626,1
206,775,43,0.0825552422741637,1
207,758,43,0.0912711503303948,1
207,759,43,0.0879007360350784,1
207,773,43,0.104410366283465,1
207,774,43,0.12856538890827,1
207,775,43,0.110077373456086,1
208,758,43,0.08026388614654,1
208,772,43,0.0776394369323977,1
208,773,43,0.125984700762276,1
208,774,43,0.151787745775561,1
208,775,43,0.117137854781798,1
208,781,43,0.0872403492905643,1
209,773,43,0.0996505636507422,1
209,774,43,0.113701012412695,1
209,775,43,0.0889270558494558,1
214,776,43,0.0792478160388023,1
220,768,43,0.0806403630506196,1
220,769,43,0.0975686263577185,1
220,770,43,0.0931393847567232,1
221,768,43,0.108637657332677,1
221,769,43,0.135691652505916,1
221,770,43,0.123145295442199,1
221,771,43,0.0819874801399945,1
222,768,43,0.120624212889028,1
222,769,43,0.15836702159766,1
222,770,43,0.142746967416803,1
222,771,43,0.0903263294310703,1
223,768,43,0.0978872304640464,1
223,769,43,0.13133438264412,1
223,770,43,0.122820310046273,1
223,771,43,0.0813172401216614,1
197,758,44,0.0875427827742522,1
197,759,44,0.0874251892902778,1
198,758,44,0.0867089950351265,1
198,759,44,0.0825006112738333,1
200,753,44,0.0939585428459477,1
200,754,44,0.0876330223935949,1
201,752,44,0.0889497100669383,1
201,753,44,0.120922573345187,1
201,754,44,0.109173915845752,1
201,755,44,0.0791709080715768,1
201,758,44,0.0777024761449747,1
201,759,44,0.0848218341386461,1
201,760,44,0.0809006787441418,1
202,752,44,0.0800816229601613,1
202,753,44,0.102866701638009,1
202,754,44,0.0942554966050005,1
202,758,44,0.0848945539849427,1
202,759,44,0.09333921886877,1
202,760,44,0.0824896006719408,1
203,758,44,0.0904745249711755,1
203,759,44,0.0968993966036705,1
203,760,44,0.0801241563653811,1
203,768,44,0.0807231791456898,1
203,769,44,0.0977472704960884,1
203,770,44,0.0912701464601874,1
204,758,44,0.0775567359307271,1
204,759,44,0.0812478643780302,1
204,768,44,0.0850630379337615,1
204,769,44,0.0965003613932747,1
204,770,44,0.0852893691040209,1
206,758,44,0.0899306511114953,1
206,759,44,0.0860457565319341,1
206,763,44,0.0791149662853068,1
206,774,44,0.0837634224480213,1
206,775,44,0.080139885796656,1
207,757,44,0.0794599843268366,1
207,758,44,0.101338728059362,1
207,759,44,0.0973519118804011,1
207,773,44,0.0957168694697622,1
207,774,44,0.120178660762972,1
207,775,44,0.105986602361,1
208,758,44,0.0786515491060056,1
208,773,44,0.112266334822557,1
208,774,44,0.137323446725056,1
208,775,44,0.111202245190886,1
208,781,44,0.090208550518841,1
208,782,44,0.0778280941965304,1
209,773,44,0.0904609055855594,1
209,774,44,0.102479770416802,1
209,775,44,0.0836613921493002,1
213,757,44,0.0768789125361777,1
214,756,44,0.0838686689678526,1
214,757,44,0.0952148320608266,1
214,758,44,0.0786307235947607,1
215,757,44,0.0814246670220069,1
219,769,44,0.0934200464056587,1
219,770,44,0.10429846992277,1
220,769,44,0.105953570555323,1
220,770,44,0.116946953196374,1
220,771,44,0.0818999835800083,1
221,768,44,0.0791437332411222,1
221,769,44,0.107633441845096,1
221,770,44,0.110639809323486,1
222,768,44,0.0826484231692732,1
222,769,44,0.114831817851651,1
222,770,44,0.110522017623101,1
223,769,44,0.101821896544845,1
223,770,44,0.0969964331276657,1
197,758,45,0.0799861338029826,1
197,759,45,0.0835012588660282,1
200,753,45,0.0969570008501566,1
200,754,45,0.0886806089105821,1
200,759,45,0.0876458169431807,1
200,760,45,0.0789690726131931,1
201,752,45,0.0911530836846666,1
201,753,45,0.137119667467035,1
201,754,45,0.120250632502171,1
201,755,45,0.0845076419459685,1
201,758,45,0.0875159148595298,1
201,759,45,0.111506743961689,1
201,760,45,0.101595648497596,1
202,752,45,0.0809699074239846,1
202,753,45,0.115247241083331,1
202,754,45,0.101452881529504,1
202,758,45,0.0855731702451336,1
202,759,45,0.106694190187495,1
202,760,45,0.0970288319196454,1
202,770,45,0.0847823315262817,1
203,758,45,0.0802752612108644,1
203,759,45,0.0901292959250798,1
203,760,45,0.0818129154232317,1
203,769,45,0.0941987363767779,1
203,770,45,0.106048823131625,1
203,771,45,0.0880615215142813,1
204,769,45,0.0903018209310391,1
204,770,45,0.095104809164913,1
204,771,45,0.0828759883965392,1
205,762,45,0.0791075235788011,1
205,763,45,0.085415703292285,1
205,769,45,0.0770816751358358,1
206,757,45,0.0769289014360587,1
206,758,45,0.0878794373620797,1
206,759,45,0.0803617922651097,1
206,762,45,0.0860185433370129,1
206,763,45,0.0903585172184841,1
206,764,45,0.0820106139133086,1
206,780,45,0.0828473621104344,1
207,757,45,0.0790050648768705,1
207,758,45,0.0944064735689287,1
207,759,45,0.0878550183791371,1
207,762,45,0.0767675468839357,1
207,763,45,0.082303079029778,1
207,764,45,0.0821274401079525,1
207,773,45,0.0788372587002937,1
207,774,45,0.0923226947815118,1
207,775,45,0.0853469413801182,1
207,780,45,0.0821547364258845,1
207,781,45,0.0810930317852163,1
208,763,45,0.080821724672035,1
208,764,45,0.0879982904793717,1
208,765,45,0.082290367603203,1
208,773,45,0.0869661712364714,1
208,774,45,0.101495120807147,1
208,775,45,0.0900458596044675,1
208,780,45,0.0780877832704327,1
208,781,45,0.0845557254106788,1
209,763,45,0.0821114485194897,1
209,764,45,0.0925138777063574,1
209,765,45,0.0857255922706342,1
209,774,45,0.0831215273763718,1
210,759,45,0.0781367107534065,1
210,764,45,0.0781337630835619,1
213,756,45,0.0886829299608069,1
213,757,45,0.0993556687847262,1
213,758,45,0.0807147709334433,1
214,756,45,0.100047936400922,1
214,757,45,0.118981472008774,1
214,758,45,0.091869872589049,1
215,757,45,0.0900781944556696,1
219,769,45,0.101645599033011,1
219,770,45,0.12254778166424,1
219,771,45,0.0867826612049307,1
220,769,45,0.102278906858237,1
220,770,45,0.122593064522894,1
220,771,45,0.0860215101890908,1
221,769,45,0.0797656212434793,1
221,770,45,0.0888467206565541,1
200,753,46,0.0828404692946156,1
200,754,46,0.0782915753166092,1
200,758,46,0.0775449324631931,1
200,759,46,0.103465909846573,1
200,760,46,0.0949848051136253,1
201,752,46,0.0821760862515052,1
201,753,46,0.127409032734609,1
201,754,46,0.111903509274482,1
201,755,46,0.0823886637605157,1
201,758,46,0.0938420811137358,1
201,759,46,0.136489812443796,1
201,760,46,0.126982036222195,1
201,761,46,0.0841016435848985,1
202,752,46,0.0800766163972799,1
202,753,46,0.118726527340565,1
202,754,46,0.102576237867877,1
202,758,46,0.0821638607748395,1
202,759,46,0.113904318508962,1
202,760,46,0.107670092698782,1
202,761,46,0.0802498255695589,1
202,770,46,0.0909881228726903,1
202,771,46,0.0789907932953235,1
203,753,46,0.0817843147134379,1
203,759,46,0.0786487868644159,1
203,769,46,0.0820977779812515,1
203,770,46,0.105636424298723,1
203,771,46,0.0938034864604125,1
204,769,46,0.0830828879645042,1
204,770,46,0.0971966253080667,1
204,771,46,0.0903153060410224,1
205,761,46,0.0828458595021622,1
205,762,46,0.0867974571008535,1
205,763,46,0.0883838405797843,1
205,764,46,0.0767601553300521,1
205,769,46,0.079312345071496,1
205,770,46,0.082473116739491,1
205,780,46,0.108204624810863,1
205,781,46,0.102828030255753,1
206,757,46,0.0767868761809862,1
206,758,46,0.078956310033996,1
206,760,46,0.0789070436649012,1
206,761,46,0.0961794682071108,1
206,762,46,0.0989695815817823,1
206,763,46,0.0954186944418584,1
206,764,46,0.08402195419385,1
206,779,46,0.0953396316704298,1
206,780,46,0.129638698800062,1
206,781,46,0.11998983085874,1
207,758,46,0.0769675920005484,1
207,761,46,0.0798738410094663,1
207,762,46,0.0821592378566233,1
207,763,46,0.0870170617013157,1
207,764,46,0.0882181636310996,1
207,765,46,0.0827760553553215,1
207,779,46,0.0875086383990457,1
207,780,46,0.104123259404154,1
207,781,46,0.0954528643933759,1
208,763,46,0.088766500557052,1
208,764,46,0.100939405115467,1
208,765,46,0.0900227066489201,1
209,763,46,0.0903822903995736,1
209,764,46,0.105638470403604,1
209,765,46,0.0902355207388076,1
210,759,46,0.0806349152963732,1
210,764,46,0.0811585774762729,1
210,768,46,0.0784958085541507,1
212,756,46,0.0769838777165879,1
212,757,46,0.0855874674029916,1
213,756,46,0.0992271350337147,1
213,757,46,0.113611111679474,1
213,758,46,0.086728842252475,1
214,756,46,0.09651717142369,1
214,757,46,0.118214911603154,1
214,758,46,0.0881493249899997,1
214,778,46,0.0852224422921695,1
214,779,46,0.0866501631257117,1
215,757,46,0.0805019056909338,1
215,778,46,0.0978184429755685,1
215,779,46,0.099672559278216,1
219,769,46,0.0904165242918687,1
219,770,46,0.110601738984539,1
219,771,46,0.0833271353406304,1
220,769,46,0.0845738718033448,1
220,770,46,0.101261813698058,1
200,759,47,0.0988712918185473,1
200,760,47,0.094066494060669,1
201,753,47,0.097007315848003,1
201,754,47,0.0890135677214678,1
201,758,47,0.0878263665167213,1
201,759,47,0.126471213350425,1
201,760,47,0.123497775372468,1
201,761,47,0.0829788435312906,1
202,753,47,0.10550835092131,1
202,754,47,0.0936768453564161,1
202,759,47,0.0985003330035694,1
202,760,47,0.0973017887048872,1
202,770,47,0.0791645395701338,1
203,770,47,0.0910948272422496,1
203,771,47,0.0869548345366135,1
204,769,47,0.0779463015119692,1
204,770,47,0.0909600464772724,1
204,771,47,0.087096341871388,1
204,780,47,0.0767415165933991,1
205,761,47,0.0879046172402751,1
205,762,47,0.0841129355262121,1
205,763,47,0.0803639854337793,1
205,769,47,0.078160535087118,1
205,770,47,0.0825944123944849,1
205,779,47,0.0930496822399119,1
205,780,47,0.148537994121541,1
205,781,47,0.145641950060718,1
205,782,47,0.0812581076905921,1
206,760,47,0.0790706041738494,1
206,761,47,0.103450755882296,1
206,762,47,0.0987861163087859,1
206,763,47,0.0894859046392359,1
206,764,47,0.0790513707879652,1
206,779,47,0.108124570957383,1
206,780,47,0.166638963259118,1
206,781,47,0.159956921819356,1
206,782,47,0.089643825571605,1
207,761,47,0.0815642625275329,1
207,762,47,0.0814837483004541,1
207,763,47,0.0853597742941705,1
207,764,47,0.0878913431348577,1
207,765,47,0.0837570027939562,1
207,779,47,0.0906031482392756,1
207,780,47,0.11820689342965,1
207,781,47,0.10891069724093,1
208,763,47,0.0901098067760855,1
208,764,47,0.101220961935288,1
208,765,47,0.0887518325426843,1
209,763,47,0.0910119663886351,1
209,764,47,0.102785835736654,1
209,765,47,0.0861626466673555,1
212,756,47,0.0781473504987892,1
212,757,47,0.0894987055828995,1
212,778,47,0.0770254903746111,1
212,779,47,0.0787066596621676,1
212,780,47,0.077072416511248,1
213,756,47,0.0885095161780398,1
213,757,47,0.10604260169397,1
213,758,47,0.0801270273062927,1
213,778,47,0.0876250361904801,1
213,779,47,0.0913571506761865,1
213,780,47,0.0875565620118122,1
213,781,47,0.0896063690641219,1
213,782,47,0.0877873434601884,1
214,757,47,0.0940415699455838,1
214,778,47,0.0987899399672828,1
214,779,47,0.104096922197885,1
214,780,47,0.0850785307841595,1
214,781,47,0.080980841296944,1
214,782,47,0.0791386307670745,1
215,778,47,0.106845052058023,1
215,779,47,0.108510044328862,1
219,770,47,0.0833247183792394,1
200,758,48,0.080437248776685,1
200,759,48,0.0865128950644881,1
200,760,48,0.0819126758243501,1
201,758,48,0.0808897640534156,1
201,759,48,0.0996544640381721,1
201,760,48,0.101477671368957,1
202,753,48,0.0786974457961241,1
202,760,48,0.0774258555531798,1
203,770,48,0.0776570206462213,1
203,771,48,0.0795283306239495,1
204,769,48,0.0776549617531845,1
204,770,48,0.0843643890279672,1
204,771,48,0.080922118086851,1
204,780,48,0.0823374855621724,1
204,781,48,0.0806098249352664,1
205,761,48,0.080393500496692,1
205,769,48,0.0780523408974421,1
205,770,48,0.0818042578419527,1
205,779,48,0.0965768281691351,1
205,780,48,0.158103380983706,1
205,781,48,0.157461837586333,1
205,782,48,0.0859392823491739,1
206,761,48,0.091896388829495,1
206,762,48,0.0872051434984506,1
206,763,48,0.0782329671999157,1
206,779,48,0.105772522243718,1
206,780,48,0.169450631069898,1
206,781,48,0.16659383385833,1
206,782,48,0.0914664126768474,1
207,763,48,0.0777276496290923,1
207,764,48,0.0836631057621383,1
207,765,48,0.0823039678065858,1
207,779,48,0.0840378051126023,1
207,780,48,0.113246930586915,1
207,781,48,0.105925730740782,1
208,763,48,0.0852188296382384,1
208,764,48,0.0924861146207493,1
208,765,48,0.0854269568691322,1
209,762,48,0.0809596193528784,1
209,763,48,0.0871463755298133,1
209,764,48,0.0889416791052793,1
209,765,48,0.0803644458073776,1
210,780,48,0.0875349500290035,1
210,781,48,0.089508258335064,1
210,782,48,0.0802316216301931,1
