x,y,z,signal,mito.p
547,178,7,0.116679160352696,1
548,176,7,0.148534314682418,1
548,177,7,0.135588970087511,1
549,176,7,0.122749393538438,1
549,177,7,0.117997604208318,1
552,176,7,0.120484595951697,1
543,173,8,0.151217226391338,1
546,178,8,0.142702904590039,1
547,176,8,0.14712008956449,1
547,177,8,0.162165602917196,1
547,178,8,0.131366480284393,1
548,170,8,0.125504732981673,1
548,175,8,0.127229243224156,1
548,176,8,0.17557780608832,1
548,177,8,0.181378820086022,1
548,178,8,0.136903645345575,1
549,170,8,0.136364429696247,1
549,171,8,0.127745623527656,1
549,172,8,0.122824306191768,1
549,173,8,0.125176464580647,1
549,174,8,0.127004363941757,1
549,175,8,0.140298068273421,1
549,176,8,0.173297156838101,1
549,177,8,0.176056947937202,1
549,178,8,0.134122067041843,1
550,170,8,0.141047512782141,1
550,171,8,0.141845949059113,1
550,172,8,0.142314303297485,1
550,173,8,0.146607678065292,1
550,174,8,0.143034340968386,1
550,175,8,0.136994998505751,1
550,176,8,0.138660059121758,1
550,177,8,0.132074905964069,1
551,171,8,0.145875993072564,1
551,172,8,0.145916705703056,1
551,173,8,0.144566087445784,1
551,174,8,0.137688090704113,1
551,175,8,0.132773203537809,1
551,176,8,0.123259331895488,1
552,171,8,0.1431789137922,1
552,172,8,0.142803373045558,1
552,173,8,0.136620058379345,1
552,174,8,0.13844229306725,1
552,175,8,0.155982429573391,1
552,176,8,0.150844559200334,1
552,177,8,0.12274226853368,1
553,171,8,0.136366196226353,1
553,172,8,0.136341794557165,1
553,173,8,0.134967657895758,1
553,174,8,0.157088136096871,1
553,175,8,0.19845472425737,1
553,176,8,0.185525596408828,1
553,177,8,0.133052727484797,1
554,172,8,0.136632506528153,1
554,173,8,0.140480291742211,1
554,174,8,0.170209556635803,1
554,175,8,0.206455857286225,1
554,176,8,0.18034866216671,1
554,177,8,0.12333517492134,1
555,173,8,0.140979124513333,1
555,174,8,0.153972153644215,1
555,175,8,0.168585903485463,1
555,176,8,0.146417257896814,1
556,173,8,0.142433826724407,1
556,174,8,0.14118915316598,1
556,175,8,0.147031986819707,1
556,176,8,0.139579125851185,1
556,177,8,0.118401538982185,1
557,174,8,0.140112241083216,1
557,175,8,0.156805432395694,1
557,176,8,0.158413634296047,1
557,177,8,0.140778588015784,1
558,175,8,0.170892897587985,1
558,176,8,0.165249399191334,1
558,177,8,0.148451087560726,1
558,178,8,0.135730869562432,1
558,179,8,0.116746394488501,1
559,175,8,0.16903678085266,1
559,176,8,0.157908795322567,1
559,177,8,0.145806462447621,1
559,178,8,0.1480942720332,1
559,179,8,0.134733345342598,1
560,176,8,0.146071606839552,1
560,177,8,0.141552858160917,1
560,178,8,0.135203996070106,1
560,179,8,0.115610562738293,1
561,177,8,0.132209174028936,1
561,178,8,0.119132941330096,1
542,173,9,0.139163685077899,1
542,174,9,0.132324869973963,1
543,172,9,0.122789281788215,1
543,173,9,0.151464316845593,1
543,174,9,0.129985583701117,1
544,172,9,0.124080839055635,1
544,173,9,0.146290303266583,1
545,178,9,0.117755742683174,1
546,177,9,0.124175171763255,1
546,178,9,0.135333777148506,1
546,179,9,0.115008694154566,1
547,176,9,0.121741611667126,1
547,177,9,0.148925247794711,1
547,178,9,0.127419934260584,1
548,169,9,0.173746361890133,1
548,170,9,0.154150938267734,1
548,171,9,0.128224270748108,1
548,175,9,0.123597269104623,1
548,176,9,0.177311031212656,1
548,177,9,0.20092640607317,1
548,178,9,0.148154840462075,1
549,169,9,0.17365109880999,1
549,170,9,0.184452429369887,1
549,171,9,0.183063995591495,1
549,172,9,0.165839290700948,1
549,173,9,0.167500358958917,1
