x,y,z,signal,mito.p
846,999,34,0.165853434718657,1
846,1000,34,0.135999405692165,1
847,999,34,0.206613125573062,1
847,1000,34,0.155470383157082,1
845,999,35,0.129466223850173,1
845,1000,35,0.137501768885479,1
846,998,35,0.166655462940177,1
846,999,35,0.232443446540748,1
846,1000,35,0.22345623640714,1
846,1001,35,0.13491005723746,1
847,998,35,0.173400463518657,1
847,999,35,0.25298072513093,1
847,1000,35,0.211404332078265,1
847,1001,35,0.114977132150019,1
848,999,35,0.172818356518374,1
848,1000,35,0.147493522251873,1
845,999,36,0.15519145983033,1
845,1000,36,0.176424751281983,1
846,998,36,0.177816141054084,1
846,999,36,0.296879846180922,1
846,1000,36,0.318721295063476,1
846,1001,36,0.166731282412294,1
847,998,36,0.177119480464909,1
847,999,36,0.287480822549177,1
847,1000,36,0.271258117088065,1
847,1001,36,0.135040992448861,1
848,999,36,0.165684036258431,1
848,1000,36,0.151720840570611,1
845,999,37,0.167654800797586,1
845,1000,37,0.190408462272758,1
846,998,37,0.179350360673629,1
846,999,37,0.32720476147227,1
846,1000,37,0.355967286877329,1
846,1001,37,0.168556732184991,1
847,998,37,0.177875213820804,1
847,999,37,0.304176204358986,1
847,1000,37,0.297170145961552,1
847,1001,37,0.137574714801958,1
848,999,37,0.158497426707373,1
848,1000,37,0.149602700313208,1
845,999,38,0.172159970748146,1
845,1000,38,0.18125844872465,1
846,998,38,0.171630588783071,1
846,999,38,0.310430827957115,1
846,1000,38,0.31306399417827,1
846,1001,38,0.14488177815246,1
847,998,38,0.170695423075952,1
847,999,38,0.291180690309089,1
847,1000,38,0.269653306925514,1
847,1001,38,0.123061822052853,1
848,999,38,0.147802818119568,1
848,1000,38,0.135654072610323,1
845,999,39,0.190641550031713,1
845,1000,39,0.175309799917618,1
846,998,39,0.166763103507924,1
846,999,39,0.275485329414997,1
846,1000,39,0.23903901044919,1
846,1001,39,0.117505013176901,1
847,998,39,0.159731206663483,1
847,999,39,0.256892223197452,1
847,1000,39,0.21452063250634,1
848,999,39,0.138892228285058,1
848,1000,39,0.123350037327959,1
821,1000,40,0.144786962593278,1
822,993,40,0.116676640103079,1
823,992,40,0.117002564907498,1
823,993,40,0.16097677526383,1
824,992,40,0.138773800106802,1
825,992,40,0.131360792057455,1
825,993,40,0.166923916631839,1
826,992,40,0.118035078200284,1
826,993,40,0.148616682092793,1
827,993,40,0.140166826863468,1
827,994,40,0.176107364706406,1
828,993,40,0.142237435684172,1
831,992,40,0.117606600434821,1
834,993,40,0.125924448757814,1
837,994,40,0.121056892821462,1
838,995,40,0.120872808607628,1
840,999,40,0.119923439998462,1
841,993,40,0.124601329485846,1
841,999,40,0.122772346652939,1
841,1000,40,0.161466210094792,1
841,1005,40,0.1605673053623,1
842,1001,40,0.118389691453612,1
842,1002,40,0.120660754333793,1
842,1003,40,0.126860650829261,1
842,1004,40,0.142095901292139,1
843,1002,40,0.120187135835707,1
843,1003,40,0.136451531407304,1
843,1004,40,0.14797684488867,1
844,999,40,0.135260195281188,1
844,1000,40,0.131982681315708,1
844,1001,40,0.118245448382085,1
844,1003,40,0.12430313920408,1
845,998,40,0.163151303162193,1
845,999,40,0.218653111712161,1
845,1000,40,0.175691700172639,1
845,1001,40,0.114029141434336,1
846,998,40,0.178909988272124,1
846,999,40,0.248217853768616,1
846,1000,40,0.184492329396531,1
847,998,40,0.15004420329398,1
