x,y,z,fucci_ch00,fucci_ch02,cellCycle
541,102,2,0.00167849240863661,0.00701915007248035,2
542,102,2,0.00228885328450446,0.020706492713817,2
543,102,2,0.00230411230640116,0.00914015411612116,2
544,102,2,0.00196841382467384,0.00819409475852598,2
545,102,2,0.00170901045243,0.00764476997024491,2
539,103,2,0.00209048599984741,0.00880445563439384,2
540,103,2,0.0257419699397269,0.0104371709773404,2
541,103,2,0.0267185473411154,0.0131532768749523,2
542,103,2,0.00442511635004196,0.00778210116731518,2
543,103,2,0.0155489433127337,0.00738536659800107,2
544,103,2,0.0293278400854505,0.00828564888990616,2
545,103,2,0.0021362630655375,0.00785839627679866,2
536,104,2,0.0021515220874342,0.00860608834973678,2
537,104,2,0.00210574502174411,0.0076600289921416,2
538,104,2,0.00238040741588464,0.00784313725490196,2
539,104,2,0.0150606546120394,0.0154268711375601,2
540,104,2,0.0335698481727321,0.00999465934233616,2
541,104,2,0.0108491645685512,0.0132600900282292,2
542,104,2,0.00381475547417411,0.0120851453421836,2
543,104,2,0.00228885328450446,0.0106965743495842,2
544,104,2,0.00195315480277714,0.00787365529869535,2
545,104,2,0.0424048218509194,0.00743114366369116,2
546,104,2,0.0186312657358663,0.00756847486076143,2
534,105,2,0.0017242694743267,0.0140077821011673,2
535,105,2,0.00193789578088045,0.00819409475852598,2
536,105,2,0.00225833524071107,0.00772106507972839,2
537,105,2,0.00251773861295491,0.00787365529869535,2
538,105,2,0.00218204013122759,0.0253604943923095,2
539,105,2,0.046997787441825,0.0174105439841306,2
540,105,2,0.025284199282826,0.0209506370641642,2
541,105,2,0.00241092545967803,0.0183108262760357,2
542,105,2,0.00180056458381018,0.0085145342183566,2
543,105,2,0.00187685969329366,0.0102693217364767,2
544,105,2,0.00177004654001678,0.012970168612192,2
545,105,2,0.00222781719691768,0.00740062561989776,2
546,105,2,0.00259403372243839,0.00788891432059205,2
547,105,2,0.00216678110933089,0.00968947890440223,2
532,106,2,0.00440985732814527,0.0116273746852827,2
533,106,2,0.0119020370794232,0.0127718013275349,2
534,106,2,0.00572213321126116,0.00794995040817884,2
535,106,2,0.00199893186846723,0.00799572747386892,2
536,106,2,0.00196841382467384,0.00782787823300526,2
537,106,2,0.00242618448157473,0.0299839780270085,2
538,106,2,0.00242618448157473,0.0241092545967803,2
539,106,2,0.00230411230640116,0.0131380178530556,2
540,106,2,0.0423895628290227,0.0076600289921416,2
541,106,2,0.00210574502174411,0.00747692072938125,2
542,106,2,0.00204470893415732,0.0162661173418784,2
543,106,2,0.00224307621881437,0.00914015411612116,2
544,106,2,0.0021515220874342,0.0197604333562219,2
545,106,2,0.00195315480277714,0.0199893186846723,2
546,106,2,0.00205996795605402,0.00764476997024491,2
547,106,2,0.00230411230640116,0.0127412832837415,2
548,106,2,0.00271610589761196,0.00840772106507973,2
531,107,2,0.0189059281300069,0.015579461356527,2
532,107,2,0.00479133287556268,0.0072480354009308,2
533,107,2,0.0433356221866178,0.00827038986800946,2
534,107,2,0.00622568093385214,0.0162661173418784,2
535,107,2,0.0637216754406043,0.00933852140077821,2
536,107,2,0.007690547035935,0.0107728694590677,2
537,107,2,0.00271610589761196,0.00753795681696803,2
538,107,2,0.0104371709773404,0.00744640268558785,2
539,107,2,0.00643930724040589,0.00816357671473259,2
540,107,2,0.0294499122606241,0.00834668497749294,2
541,107,2,0.0207370107576104,0.00791943236438544,2
542,107,2,0.00192263675898375,0.00791943236438544,2
543,107,2,0.00590524147402152,0.0183413443198291,2
544,107,2,0.0203707942320897,0.00753795681696803,2
545,107,2,0.00190737773708705,0.00770580605783169,2
546,107,2,0.00210574502174411,0.00796520943007553,2
547,107,2,0.00178530556191348,0.0161287861448081,2
548,107,2,0.00161745632104982,0.0110933089188983,2
549,107,2,0.00195315480277714,0.00993362325474937,2
531,108,2,0.0093690394445716,0.0155184252689403,2
532,108,2,0.00679026474402991,0.0120546272983902,2
533,108,2,0.00582894636453803,0.0115205615320058,2
534,108,2,0.10614175631342,0.0197451743343252,2
535,108,2,0.00137331197070268,0.0185397116044862,2
536,108,2,0.00160219729915312,0.00823987182421607,2
537,108,2,0.00234988937209125,0.0201419089036393,2
538,108,2,0.00332646677347982,0.00762951094834821,2
539,108,2,0.00538643472953384,0.0127412832837415,2
540,108,2,0.00134279392690929,0.00932326237888151,2
541,108,2,0.0406500343327993,0.00878919661249714,2
542,108,2,0.00196841382467384,0.0104829480430304,2
543,108,2,0.00227359426260777,0.00711070420386053,2
544,108,2,0.0046997787441825,0.00788891432059205,2
545,108,2,0.011459525444419,0.0104829480430304,2
546,108,2,0.00125123979552911,0.015579461356527,2
547,108,2,0.010452429999237,0.0107728694590677,2
548,108,2,0.0206149385824369,0.00875867856870375,2
549,108,2,0.00140383001449607,0.00782787823300526,2
530,109,2,0.00674448767833982,0.0158541237506676,2
531,109,2,0.0064087891966125,0.0143434805828946,2
532,109,2,0.00205996795605402,0.00788891432059205,2
533,109,2,0.00146486610208286,0.00787365529869535,2
534,109,2,0.00166323338673991,0.00762951094834821,2
535,109,2,0.00209048599984741,0.0089417868314641,2
536,109,2,0.00221255817502098,0.0106813153276875,2
537,109,2,0.00170901045243,0.0257724879835203,2
538,109,2,0.00120546272983902,0.00801098649576562,2
539,109,2,0.00166323338673991,0.0115663385976959,2
540,109,2,0.00177004654001678,0.0142061493858244,2
541,109,2,0.0284275577935454,0.00830090791180285,2
542,109,2,0.00157167925535973,0.00758373388265812,2
543,109,2,0.017441062027924,0.0120546272983902,2
544,109,2,0.0657206073090715,0.00868238345922026,2
545,109,2,0.00201419089036393,0.00849927519645991,2
546,109,2,0.0205996795605402,0.00772106507972839,2
547,109,2,0.00379949645227741,0.00784313725490196,2
548,109,2,0.00125123979552911,0.00775158312352178,2
549,109,2,0.00204470893415732,0.013015945677882,2
550,109,2,0.0291294728007935,0.0220492866407263,2
551,109,2,0.0128786144808118,0.0271152819104295,2
530,110,2,0.00613412680247196,0.0081177996490425,2
531,110,2,0.0156710154879072,0.00788891432059205,2
532,110,2,0.0516670481422141,0.00953688868543526,2
533,110,2,0.00807202258335241,0.00744640268558785,2
534,110,2,0.00195315480277714,0.012314030670634,2
535,110,2,0.00140383001449607,0.00860608834973678,2
536,110,2,0.0293278400854505,0.0206454566262303,2
537,110,2,0.0139925230792706,0.00781261921110857,2
538,110,2,0.00238040741588464,0.0146181429770352,2
539,110,2,0.0195773250934615,0.0205996795605402,2
540,110,2,0.01025406271458,0.00825513084611276,2
541,110,2,0.00173952849622339,0.0081025406271458,2
542,110,2,0.00799572747386892,0.00764476997024491,2
543,110,2,0.00515754940108339,0.00743114366369116,2
544,110,2,0.0296635385671778,0.0181277180132754,2
545,110,2,0.00967421988250553,0.0331120775158312,2
546,110,2,0.00233463035019455,0.00839246204318303,2
547,110,2,0.00244144350347143,0.00822461280231937,2
548,110,2,0.00180056458381018,0.0147554741741054,2
549,110,2,0.00125123979552911,0.00907911802853437,2
550,110,2,0.00184634164950027,0.00784313725490196,2
551,110,2,0.00178530556191348,0.00715648126955062,2
529,111,2,0.00393682764934768,0.00952162966353857,2
530,111,2,0.00210574502174411,0.0107728694590677,2
531,111,2,0.00205996795605402,0.00997940032043946,2
532,111,2,0.00163271534294652,0.0129091325246052,2
533,111,2,0.00161745632104982,0.00881971465629053,2
534,111,2,0.00204470893415732,0.00770580605783169,2
535,111,2,0.00267032883192187,0.00708018616006714,2
536,111,2,0.0134889753566796,0.00828564888990616,2
537,111,2,0.022720683604181,0.0110933089188983,2
538,111,2,0.00201419089036393,0.0145571068894484,2
539,111,2,0.0168459601739528,0.00709544518196384,2
540,111,2,0.00187685969329366,0.0072480354009308,2
541,111,2,0.00120546272983902,0.00775158312352178,2
542,111,2,0.00187685969329366,0.00805676356145571,2
543,111,2,0.0106355382619974,0.00782787823300526,2
544,111,2,0.0021515220874342,0.014877546349279,2
545,111,2,0.012970168612192,0.0201724269474327,2
546,111,2,0.0497749294270237,0.00854505226215,2
547,111,2,0.00181582360570687,0.00880445563439384,2
548,111,2,0.0436255436026551,0.00735484855420768,2
549,111,2,0.0129549095902953,0.00711070420386053,2
550,111,2,0.0115053025101091,0.00801098649576562,2
551,111,2,0.0324254215304799,0.012161440451667,2
552,111,2,0.00187685969329366,0.016433966582742,2
529,112,2,0.00189211871519036,0.0134126802471962,2
530,112,2,0.00222781719691768,0.00915541313801785,2
531,112,2,0.00219729915312428,0.00819409475852598,2
532,112,2,0.00231937132829786,0.0072327763790341,2
533,112,2,0.00163271534294652,0.00761425192645151,2
534,112,2,0.00148012512397955,0.0141298542763409,2
535,112,2,0.00173952849622339,0.00956740672922866,2
536,112,2,0.00222781719691768,0.00762951094834821,2
537,112,2,0.0139925230792706,0.0072327763790341,2
538,112,2,0.00177004654001678,0.00775158312352178,2
539,112,2,0.0017242694743267,0.00791943236438544,2
540,112,2,0.00225833524071107,0.0147096971084154,2
541,112,2,0.00218204013122759,0.00737010757610437,2
542,112,2,0.0120393682764935,0.00778210116731518,2
543,112,2,0.00711070420386053,0.00775158312352178,2
544,112,2,0.0017242694743267,0.0115968566414893,2
545,112,2,0.00190737773708705,0.0176241702906844,2
546,112,2,0.00247196154726482,0.0072632944228275,2
547,112,2,0.0017242694743267,0.00819409475852598,2
548,112,2,0.00157167925535973,0.00782787823300526,2
549,112,2,0.00668345159075303,0.0194399938963912,2
550,112,2,0.00886549172198062,0.0215304798962387,2
551,112,2,0.00202944991226062,0.00758373388265812,2
552,112,2,0.0017242694743267,0.012817578393225,2
553,112,2,0.00175478751812009,0.00781261921110857,2
528,113,2,0.0979476615548943,0.0107881284809644,2
529,113,2,0.011612115663386,0.0108644235904479,2
530,113,2,0.00332646677347982,0.00875867856870375,2
531,113,2,0.00201419089036393,0.026337071793698,2
532,113,2,0.0021515220874342,0.0081177996490425,2
533,113,2,0.0156099794003204,0.0076752880140383,2
534,113,2,0.0568856336308843,0.00700389105058366,2
535,113,2,0.00770580605783169,0.00746166170748455,2
536,113,2,0.0365300984206912,0.0140383001449607,2
537,113,2,0.00195315480277714,0.00842298008697642,2
538,113,2,0.00228885328450446,0.00776684214541848,2
539,113,2,0.00234988937209125,0.0108186465247578,2
540,113,2,0.0191042954146639,0.00801098649576562,2
541,113,2,0.0493781948577096,0.00790417334248875,2
542,113,2,0.0200198367284657,0.00796520943007553,2
543,113,2,0.0111848630502785,0.00691233691920348,2
544,113,2,0.00205996795605402,0.0108796826123445,2
545,113,2,0.0207370107576104,0.0100556954299229,2
546,113,2,0.00202944991226062,0.00788891432059205,2
547,113,2,0.00250247959105821,0.00807202258335241,2
548,113,2,0.0021515220874342,0.00781261921110857,2
549,113,2,0.00167849240863661,0.00761425192645151,2
550,113,2,0.00161745632104982,0.010452429999237,2
551,113,2,0.00204470893415732,0.00820935378042268,2
552,113,2,0.017792019531548,0.00741588464179446,2
553,113,2,0.0393377584496834,0.00756847486076143,2
528,114,2,0.00158693827725643,0.0179140917067216,2
529,114,2,0.00163271534294652,0.0106660563057908,2
530,114,2,0.00804150453955901,0.0205539024948501,2
531,114,2,0.0119783321889067,0.0137178606851301,2
532,114,2,0.00140383001449607,0.0142061493858244,2
533,114,2,0.00205996795605402,0.00764476997024491,2
534,114,2,0.0308842603189136,0.012970168612192,2
535,114,2,0.0126802471961547,0.00891126878767071,2
536,114,2,0.00190737773708705,0.00756847486076143,2
537,114,2,0.00184634164950027,0.00752269779507134,2
538,114,2,0.00207522697795071,0.0110475318532082,2
539,114,2,0.0076752880140383,0.00805676356145571,2
540,114,2,0.0349584191653315,0.0076752880140383,2
541,114,2,0.00178530556191348,0.00741588464179446,2
542,114,2,0.00205996795605402,0.00762951094834821,2
543,114,2,0.00399786373693446,0.00743114366369116,2
544,114,2,0.026337071793698,0.00737010757610437,2
545,114,2,0.013519493400473,0.00782787823300526,2
546,114,2,0.00366216525520714,0.0169069962615396,2
547,114,2,0.00189211871519036,0.0097962920576791,2
548,114,2,0.0034332799267567,0.0236972610055695,2
549,114,2,0.00718699931334401,0.0168764782177462,2
550,114,2,0.00199893186846723,0.00749217975127794,2
551,114,2,0.0021362630655375,0.0180209048599985,2
552,114,2,0.0179751277943084,0.0186007476920729,2
553,114,2,0.00233463035019455,0.0151369497215229,2
528,115,2,0.00209048599984741,0.00781261921110857,2
529,115,2,0.00123598077363241,0.0111390859845884,2
530,115,2,0.00137331197070268,0.00964370183871214,2
531,115,2,0.00161745632104982,0.0149996185244526,2
532,115,2,0.00248722056916152,0.00775158312352178,2
533,115,2,0.0111238269626917,0.0115815976195926,2
534,115,2,0.0434424353398947,0.00968947890440223,2
535,115,2,0.0186617837796597,0.00721751735713741,2
536,115,2,0.0314946211947814,0.00971999694819562,2
537,115,2,0.0340886549172198,0.00785839627679866,2
538,115,2,0.0214694438086519,0.00828564888990616,2
539,115,2,0.0169832913710231,0.00837720302128634,2
540,115,2,0.00369268329900053,0.00968947890440223,2
541,115,2,0.00219729915312428,0.00834668497749294,2
542,115,2,0.00143434805828946,0.00787365529869535,2
543,115,2,0.0270389868009461,0.00779736018921187,2
544,115,2,0.0227664606698711,0.01196307316701,2
545,115,2,0.0237277790493629,0.0120546272983902,2
546,115,2,0.0042420080872816,0.0159914549477378,2
547,115,2,0.00140383001449607,0.00737010757610437,2
548,115,2,0.0017242694743267,0.00732433051041428,2
549,115,2,0.00222781719691768,0.0113832303349355,2
550,115,2,0.0447241931792172,0.00831616693369955,2
551,115,2,0.00175478751812009,0.0109102006561379,2
552,115,2,0.00175478751812009,0.009399557488365,2
553,115,2,0.00216678110933089,0.0373235675593194,2
528,116,2,0.0136110475318532,0.00791943236438544,2
529,116,2,0.0304417486839094,0.00819409475852598,2
530,116,2,0.00177004654001678,0.007690547035935,2
531,116,2,0.00178530556191348,0.0131990539406424,2
532,116,2,0.00874341954680705,0.0342259861142901,2
533,116,2,0.00306706340123598,0.0154421301594568,2
534,116,2,0.00227359426260777,0.0102845807583734,2
535,116,2,0.00152590218966964,0.00949111161974517,2
536,116,2,0.00183108262760357,0.00781261921110857,2
537,116,2,0.00160219729915312,0.00801098649576562,2
538,116,2,0.0241092545967803,0.00822461280231937,2
539,116,2,0.0218509193560693,0.00849927519645991,2
540,116,2,0.0140077821011673,0.00990310521095598,2
541,116,2,0.00653086137178607,0.0294193942168307,2
542,116,2,0.00241092545967803,0.00848401617456321,2
543,116,2,0.00190737773708705,0.0235446707866026,2
544,116,2,0.0118867780575265,0.00848401617456321,2
545,116,2,0.0117952239261463,0.011459525444419,2
546,116,2,0.00601205462729839,0.0206149385824369,2
547,116,2,0.0153963530937667,0.00828564888990616,2
548,116,2,0.0643015182726787,0.00869764248111696,2
549,116,2,0.00192263675898375,0.00802624551766232,2
550,116,2,0.00178530556191348,0.00730907148851759,2
551,116,2,0.0021210040436408,0.00776684214541848,2
552,116,2,0.0121919584954604,0.0080872816052491,2
553,116,2,0.0340428778515297,0.00801098649576562,2
528,117,2,0.00146486610208286,0.00709544518196384,2
529,117,2,0.00186160067139696,0.00692759594110018,2
530,117,2,0.00183108262760357,0.00714122224765393,2
531,117,2,0.0017242694743267,0.011459525444419,2
532,117,2,0.00183108262760357,0.0187533379110399,2
533,117,2,0.00141908903639277,0.00727855344472419,2
534,117,2,0.0021362630655375,0.011108567940795,2
535,117,2,0.00189211871519036,0.0108796826123445,2
536,117,2,0.00196841382467384,0.0186160067139696,2
537,117,2,0.00160219729915312,0.0158236057068742,2
538,117,2,0.0396429388876173,0.0111848630502785,2
539,117,2,0.0105592431525139,0.00924696726939803,2
540,117,2,0.00186160067139696,0.0258182650492103,2
541,117,2,0.0174563210498207,0.0195620660715648,2
542,117,2,0.0089570458533608,0.00764476997024491,2
543,117,2,0.00201419089036393,0.00732433051041428,2
544,117,2,0.00187685969329366,0.00733958953231098,2
545,117,2,0.00221255817502098,0.00807202258335241,2
546,117,2,0.00177004654001678,0.00776684214541848,2
547,117,2,0.0440222781719692,0.00756847486076143,2
548,117,2,0.00192263675898375,0.024429694056611,2
549,117,2,0.00158693827725643,0.00921644922560464,2
550,117,2,0.0668192568856336,0.0171206225680934,2
551,117,2,0.0134279392690929,0.0202792401007095,2
552,117,2,0.00155642023346304,0.00910963607232776,2
553,117,2,0.00183108262760357,0.010605020218204,2
554,117,2,0.0021515220874342,0.00869764248111696,2
528,118,2,0.00556954299229419,0.0105439841306172,2
529,118,2,0.00306706340123598,0.00840772106507973,2
530,118,2,0.00195315480277714,0.00758373388265812,2
531,118,2,0.00163271534294652,0.0113221942473487,2
532,118,2,0.0021362630655375,0.00761425192645151,2
533,118,2,0.00199893186846723,0.00805676356145571,2
534,118,2,0.00195315480277714,0.00839246204318303,2
