x,y,z,signal,mito.p
104,215,1,0.329129242922668,2
104,216,1,0.326138672330618,2
105,214,1,0.254763460205683,2
105,215,1,0.368806309913635,2
105,216,1,0.385822093177067,2
105,217,1,0.302863719598252,2
106,214,1,0.243137784260603,2
106,215,1,0.345122181701424,2
106,216,1,0.376207128905256,2
106,217,1,0.314182396164774,2
107,214,1,0.252884767215613,2
107,215,1,0.394522536590256,2
107,216,1,0.460592576164299,2
107,217,1,0.368149796665319,2
107,218,1,0.209114485094631,2
108,214,1,0.269583493655754,2
108,215,1,0.414955472135555,2
108,216,1,0.494652736925133,2
108,217,1,0.389500621253307,2
108,218,1,0.225415553831213,2
109,214,1,0.283286891649428,2
109,215,1,0.37079815504538,2
109,216,1,0.411359853205588,2
109,217,1,0.344863585247749,2
109,218,1,0.240053752449117,2
110,214,1,0.305119437220252,2
110,215,1,0.392638214257584,2
110,216,1,0.416247630023211,2
110,217,1,0.364005446377191,2
110,218,1,0.279036502447516,2
110,220,1,0.248891890995577,2
110,221,1,0.297742077748429,2
110,222,1,0.323041756626231,2
110,223,1,0.290962535617958,2
111,214,1,0.263627366537944,2
111,215,1,0.392047887003878,2
111,216,1,0.452336662386796,2
111,217,1,0.404971656377767,2
111,218,1,0.299566762024747,2
111,220,1,0.262412417792755,2
111,221,1,0.314958821476635,2
111,222,1,0.31903314651139,2
111,223,1,0.261064743752325,2
111,226,1,0.313847791809104,2
111,227,1,0.295246324015727,2
112,214,1,0.20446052620174,2
112,215,1,0.355149030132575,2
112,216,1,0.45855192769418,2
112,217,1,0.411842375015404,2
112,218,1,0.288756846128539,2
112,220,1,0.258389746098277,2
112,221,1,0.305969750597982,2
112,222,1,0.297657378518316,2
112,225,1,0.255745792266612,2
112,226,1,0.38269031794527,2
112,227,1,0.386482257254268,2
112,228,1,0.233511914609609,2
113,214,1,0.200698570797062,2
113,215,1,0.370407327924893,2
113,216,1,0.466854430758992,2
113,217,1,0.383976069217078,2
113,218,1,0.263125318682031,2
113,219,1,0.247049753401819,2
113,220,1,0.311956026496256,2
113,221,1,0.343479756224498,2
113,222,1,0.294770632788985,2
113,225,1,0.259785210666488,2
113,226,1,0.390299870134128,2
113,227,1,0.374801913090864,2
113,228,1,0.21420119675584,2
114,215,1,0.333987153604645,2
114,216,1,0.384039263887376,2
114,217,1,0.298137662723332,2
114,219,1,0.317526790960039,2
114,220,1,0.427626439274515,2
114,221,1,0.419666501727714,2
114,222,1,0.302816400145166,2
114,225,1,0.298194003256822,2
114,226,1,0.405558945199692,2
114,227,1,0.337258838020778,2
115,216,1,0.254585064218787,2
115,218,1,0.260405356948371,2
115,219,1,0.384916404968971,2
115,220,1,0.480947148434129,2
115,221,1,0.42183711970611,2
115,222,1,0.275207418898838,2
115,225,1,0.289784707558714,2
115,226,1,0.349464312700136,2
115,227,1,0.259860959477401,2
116,217,1,0.240787239302553,2
116,218,1,0.317328280083678,2
116,219,1,0.408687352247422,2
116,220,1,0.416885135407595,2
116,221,1,0.336598673943577,2
116,222,1,0.24056743584999,2
117,216,1,0.248566943671149,2
117,217,1,0.30360820604581,2
117,218,1,0.39280139453184,2
117,219,1,0.41799748408427,2
117,220,1,0.339312653028615,2
117,221,1,0.29194727015983,2
117,222,1,0.299224903118778,2
117,223,1,0.275350083870139,2
118,217,1,0.302697665768359,2
118,218,1,0.384580316728013,2
118,219,1,0.381003799876918,2
118,220,1,0.306305085119429,2
118,221,1,0.328771485245752,2
118,222,1,0.419364589955858,2
118,223,1,0.40260704984008,2
118,224,1,0.314836883791903,2
119,218,1,0.250594849570776,2
119,219,1,0.257028198908087,2
119,221,1,0.314750111833133,2
119,222,1,0.403302685841794,2
119,223,1,0.392741874244161,2
119,224,1,0.299686085244923,2
120,222,1,0.301735165952078,2
120,223,1,0.33815102993887,2
120,224,1,0.276684450050443,2
121,223,1,0.289670801697527,2
121,224,1,0.250988573800634,2
103,215,2,0.163963600812057,2
104,214,2,0.230046265187919,2
104,215,2,0.345488960458744,2
104,216,2,0.296512714117581,2
105,214,2,0.289362695293436,2
105,215,2,0.423486446427313,2
105,216,2,0.377402716480492,2
105,217,2,0.267823393720084,2
106,214,2,0.25262428646316,2
106,215,2,0.358952251680512,2
106,216,2,0.358197048283649,2
106,217,2,0.288731926277187,2
106,218,2,0.1706330056789,2
107,214,2,0.241423967413691,2
107,215,2,0.391004503662512,2
107,216,2,0.499839033776809,2
107,217,2,0.417525749884964,2
107,218,2,0.228484581913671,2
108,213,2,0.265594197603398,2
108,214,2,0.269534902300993,2
108,215,2,0.432650074034099,2
108,216,2,0.577664671696739,2
108,217,2,0.477039254089023,2
108,218,2,0.266699291729775,2
109,213,2,0.267348314890445,2
109,214,2,0.327138905229947,2
109,215,2,0.416717998105903,2
109,216,2,0.457704652748231,2
109,217,2,0.384778168099802,2
109,218,2,0.277525035735726,2
109,219,2,0.243050070152444,2
109,220,2,0.252810784934805,2
109,221,2,0.262236259410659,2
109,222,2,0.286792252667884,2
109,223,2,0.26900595608001,2
110,213,2,0.252073576591281,2
110,214,2,0.390009146386273,2
110,215,2,0.479552484692899,2
110,216,2,0.477873715803275,2
110,217,2,0.411388023472333,2
110,218,2,0.321362328232034,2
110,219,2,0.29127855607692,2
110,220,2,0.323276634469025,2
110,221,2,0.37181256729302,2
110,222,2,0.406342907706669,2
110,223,2,0.356295908584375,2
110,224,2,0.25244268716834,2
110,226,2,0.203773181114653,2
110,227,2,0.172396850658393,2
111,213,2,0.176893223289028,2
111,214,2,0.30025036206801,2
111,215,2,0.445624083524181,2
111,216,2,0.538632741500211,2
111,217,2,0.488400256716866,2
111,218,2,0.335186627546112,2
111,219,2,0.265577309575592,2
111,220,2,0.310900842733786,2
111,221,2,0.380756697645795,2
111,222,2,0.380786846426258,2
111,223,2,0.291574037679192,2
111,224,2,0.212669850691933,2
111,225,2,0.253366111338693,2
111,226,2,0.364851049007973,2
111,227,2,0.35905040009316,2
111,228,2,0.204356489355408,2
112,214,2,0.205516816989742,2
112,215,2,0.386385734049317,2
112,216,2,0.549549285153572,2
112,217,2,0.489051658804744,2
112,218,2,0.30509550662576,2
112,219,2,0.234576260774891,2
112,220,2,0.293150913112345,2
112,221,2,0.360126852878097,2
112,222,2,0.333404646190871,2
112,223,2,0.232567975136301,2
112,225,2,0.254229826791488,2
112,226,2,0.436440293920461,2
112,227,2,0.464747125219568,2
112,228,2,0.259390520733505,2
113,214,2,0.207808454057216,2
113,215,2,0.428571744864438,2
113,216,2,0.566925440558476,2
113,217,2,0.440960538261252,2
113,218,2,0.276025133907693,2
113,219,2,0.27062388567281,2
113,220,2,0.377843689502232,2
113,221,2,0.422533226782518,2
113,222,2,0.335833813515472,2
113,223,2,0.208607090540933,2
113,224,2,0.167899371002225,2
113,225,2,0.269163766102746,2
113,226,2,0.44834642418505,2
113,227,2,0.448228514188958,2
113,228,2,0.241189042463427,2
114,214,2,0.211812541854987,2
114,215,2,0.382873660216461,2
114,216,2,0.427110000086678,2
114,217,2,0.307087705063525,2
114,218,2,0.255368225898782,2
114,219,2,0.35901907362596,2
114,220,2,0.514692961051167,2
