x,y,z,signal,mito.p
290,241,1,0.283327663164258,2
291,241,1,0.320649615772636,2
291,242,1,0.298881442558848,2
292,241,1,0.257718794410567,2
292,242,1,0.291641401360539,2
292,243,1,0.256153201216353,2
292,252,1,0.301640244401089,2
293,243,1,0.271780279833443,2
293,244,1,0.321439466713297,2
293,245,1,0.33082028330809,2
293,246,1,0.280556542718749,2
293,251,1,0.32401071016583,2
293,252,1,0.328495623904516,2
294,244,1,0.314056195254054,2
294,245,1,0.381321916618272,2
294,246,1,0.379957401657505,2
294,247,1,0.316237247536939,2
294,248,1,0.252881634568893,2
294,249,1,0.25151584770645,2
294,250,1,0.283389821470228,2
294,251,1,0.322331894168736,2
294,252,1,0.294932446946626,2
295,245,1,0.277072733367577,2
295,246,1,0.361535413322821,2
295,247,1,0.40260521264877,2
295,248,1,0.384415252154978,2
295,249,1,0.35072398998759,2
295,250,1,0.309080374575986,2
295,251,1,0.273298765558184,2
296,246,1,0.28350723683789,2
296,247,1,0.405924734700153,2
296,248,1,0.464912236900072,2
296,249,1,0.450350470151388,2
296,250,1,0.366006336143074,2
296,251,1,0.257668742724251,2
297,247,1,0.304571412474133,2
297,248,1,0.407578960598182,2
297,249,1,0.468977281763342,2
297,250,1,0.429165487409681,2
297,251,1,0.295622123853451,2
298,248,1,0.273822482850055,2
298,249,1,0.34701950569567,2
298,250,1,0.346435490842873,2
298,251,1,0.255696517853543,2
299,249,1,0.196516393210947,2
299,250,1,0.1955074689835,2
302,252,1,0.30440531153677,2
302,253,1,0.308450053080697,2
303,252,1,0.290738775137959,2
303,253,1,0.283222707722271,2
278,236,2,0.18885416309435,1
278,237,2,0.2064845221814,1
278,238,2,0.175993965250516,1
278,251,2,0.165507607008386,1
278,252,2,0.198715322778497,1
279,236,2,0.237123903385218,1
279,237,2,0.292939589004288,3
279,238,2,0.270049174545234,1
279,250,2,0.171545147610313,1
279,251,2,0.258505206505956,1
279,252,2,0.269716124736057,1
280,237,2,0.226670520371719,1
280,238,2,0.220122181701424,1
280,250,2,0.191115392290278,1
280,251,2,0.269398502623132,1
280,252,2,0.230678023461027,1
281,237,2,0.146937748327025,1
281,238,2,0.1362327172116,1
281,251,2,0.203904587400749,1
282,239,2,0.117417181300068,1
282,240,2,0.187068071612398,1
282,241,2,0.26687549721934,1
282,242,2,0.223482899234862,1
283,239,2,0.124107819858776,1
283,240,2,0.224698884344379,1
283,241,2,0.335717976248037,4
283,242,2,0.280937218179564,1
283,256,2,0.26908606233185,5
284,240,2,0.17779033793768,1
284,241,2,0.247024174045895,1
284,242,2,0.197079774992114,1
284,256,2,0.280330709510094,5
289,241,2,0.218689831984615,2
289,242,2,0.165800921667062,1
290,240,2,0.234704887720289,2
290,241,2,0.372308020103207,2
290,242,2,0.301782391190225,2
290,243,2,0.154234024067018,1
290,252,2,0.189944135723026,1
291,240,2,0.23897242404109,2
291,241,2,0.414751496792735,2
291,242,2,0.401192459639262,2
291,243,2,0.243086884639837,2
291,251,2,0.208009532290663,1
291,252,2,0.246851619385214,2
292,240,2,0.171613323895509,2
292,241,2,0.316586313885737,2
292,242,2,0.385412046209036,2
292,243,2,0.325614884377543,2
292,244,2,0.249782222168624,2
292,245,2,0.191254971722328,2
292,246,2,0.137321465046069,2
292,251,2,0.263022647952314,2
292,252,2,0.32207522912131,2
292,253,2,0.202420089715233,2
293,241,2,0.175562873020497,2
293,242,2,0.265730314636442,2
293,243,2,0.345944207043735,2
293,244,2,0.409987141545133,2
293,245,2,0.396305436541151,2
293,246,2,0.298718497821939,2
293,247,2,0.184315087542637,2
293,248,2,0.131430558219745,2
293,250,2,0.210464114095045,2
293,251,2,0.32281236680363,2
293,252,2,0.380634807068532,2
293,253,2,0.231773013035202,2
294,243,2,0.26918357479366,2
294,244,2,0.417625900365064,2
294,245,2,0.489932756913775,2
294,246,2,0.449140420583025,2
294,247,2,0.338677667893848,2
294,248,2,0.271652854128517,2
294,249,2,0.276861786119275,2
294,250,2,0.295512928739212,2
294,251,2,0.348356085927039,2
294,252,2,0.355198210330706,2
294,253,2,0.215878199115359,2
295,244,2,0.235340744343241,2
295,245,2,0.335369192544056,2
295,246,2,0.437312064750536,2
295,247,2,0.50145821171755,2
295,248,2,0.497082304663225,2
295,249,2,0.423324302517386,2
295,250,2,0.328342783719809,2
295,251,2,0.29325073384016,2
295,252,2,0.263037157052911,2
296,245,2,0.188044821438195,2
296,246,2,0.344150472374861,2
296,247,2,0.541474311166317,2
