x,y,z,signal,cytoplasm.p
75,1019,1,0.0760569820540523,1
75,1020,1,0.0651721002621445,1
75,1021,1,0.056782367115218,1
75,1022,1,0.0506205979987122,1
76,1017,1,0.0822533272397269,1
76,1018,1,0.0825152781349827,1
76,1019,1,0.0753738086692365,1
76,1020,1,0.0645489200068826,1
76,1021,1,0.0559976768774368,1
76,1022,1,0.0493701283697258,1
76,1023,1,0.0466625977743111,1
77,1015,1,0.0642817083586477,1
77,1016,1,0.0702987662177174,1
77,1017,1,0.0748726259784352,1
77,1018,1,0.075794387757353,1
77,1019,1,0.0695274035812654,1
77,1020,1,0.0600861307995557,1
77,1021,1,0.0524050691988525,1
77,1022,1,0.046350683242591,1
77,1023,1,0.0430157578421228,1
78,1014,1,0.0558459476782053,1
78,1015,1,0.0603719091751598,1
78,1016,1,0.065313118719699,1
78,1017,1,0.0686082262215912,1
78,1018,1,0.0678053044739995,1
78,1019,1,0.0615484092650846,1
78,1020,1,0.0533491553858389,1
78,1021,1,0.0465777174443844,1
78,1022,1,0.0410697901763002,1
79,1013,1,0.0522507555803775,1
79,1014,1,0.0555893602638902,1
79,1015,1,0.0603117105896827,1
79,1016,1,0.0651527008976131,1
79,1017,1,0.0673500790291615,1
79,1018,1,0.0644248246293121,1
79,1019,1,0.0563353977544489,1
79,1020,1,0.0465075650601052,1
80,1012,1,0.0505366368137048,1
80,1013,1,0.0529217043377671,1
80,1014,1,0.0566733511210583,1
80,1015,1,0.062282973664357,1
80,1016,1,0.0662031808123719,1
80,1017,1,0.0646563193873313,1
80,1018,1,0.0568355045050212,1
80,1019,1,0.0460230080788729,1
81,1011,1,0.0515784064786697,1
81,1012,1,0.0532383876095978,1
81,1013,1,0.0565218544114241,1
81,1014,1,0.0612674753238786,1
81,1015,1,0.0669131067210731,1
81,1016,1,0.0673435639137044,1
81,1017,1,0.0594105322502216,1
81,1018,1,0.0468018482295798,1
82,1010,1,0.0558309061419383,1
82,1011,1,0.0565086511649956,1
82,1012,1,0.0582833253616435,1
82,1013,1,0.0613933603306742,1
82,1014,1,0.0652392410951294,1
82,1015,1,0.0668249931637245,1
82,1016,1,0.0605613881968989,1
82,1017,1,0.0481378794370802,1
83,1009,1,0.062987076519658,1
83,1010,1,0.063105473198729,1
83,1011,1,0.0642711219718717,1
83,1012,1,0.0647090783056971,1
83,1013,1,0.0657929610281689,1
83,1014,1,0.0653042570813303,1
83,1015,1,0.0595220948164811,1
83,1016,1,0.0474621781597845,1
84,1008,1,0.0697743345671935,1
84,1009,1,0.0688322164316813,1
84,1010,1,0.0693652772309767,1
84,1011,1,0.0698304618813517,1
84,1012,1,0.0682431364529242,1
84,1013,1,0.0654437075857874,1
84,1014,1,0.0589925592082879,1
84,1015,1,0.0483975703171816,1
85,1008,1,0.0759654081864194,1
85,1009,1,0.0756911894098588,1
85,1010,1,0.0753419413742121,1
85,1011,1,0.0741432358243848,1
85,1012,1,0.0687352574561685,1
85,1013,1,0.0602125456663636,1
85,1014,1,0.0489150380932583,1
86,1008,1,0.0835493756432392,1
86,1009,1,0.0830281015258498,1
86,1010,1,0.0808786162513299,1
86,1011,1,0.0763150130665642,1
86,1012,1,0.0655006026562899,1
86,1013,1,0.0527339825048442,1
87,1008,1,0.0897709810939892,1
87,1009,1,0.088382401830781,1
87,1010,1,0.0834251667242376,1
87,1011,1,0.0740076673555279,1
87,1012,1,0.0592797811820887,1
87,1013,1,0.0462175153639939,1
88,1008,1,0.0941555510686866,1
88,1009,1,0.0919741930924075,1
88,1010,1,0.0837863420168955,1
88,1011,1,0.0698850753097605,1
88,1012,1,0.0530136242364285,1
88,1013,1,0.041417481072319,1
89,1008,1,0.0965300267992381,1
