x,y,z,signal,cytoplasm.p
31,588,33,0.062962473167758,1
32,580,33,0.0603297621326645,1
28,582,34,0.060092711169072,1
28,583,34,0.0713620699871107,1
28,584,34,0.0626385603246731,1
29,583,34,0.0576999582874276,1
30,588,34,0.0573782803834009,1
31,587,34,0.0583988632404111,1
31,588,34,0.0656225106081176,1
32,580,34,0.0591917712633871,1
40,589,34,0.0673212470974097,1
41,589,34,0.0704578277968016,1
41,590,34,0.0734963719214098,1
27,582,35,0.0642631782149604,1
27,583,35,0.0689522041947884,1
27,584,35,0.0604040753305846,1
28,582,35,0.0581419454966414,1
28,583,35,0.0635357556754715,1
28,584,35,0.0586955145445352,1
31,588,35,0.05940959231598,1
39,589,35,0.0648160160426874,1
40,588,35,0.0658523142363472,1
40,589,35,0.0847373251947428,1
40,590,35,0.0775967184914635,1
41,588,35,0.0684306849985607,1
41,589,35,0.0877512437111528,1
41,590,35,0.0835458137268046,1
41,591,35,0.082082300150688,1
42,589,35,0.0693598358500359,1
42,590,35,0.073754858250376,1
27,581,36,0.0575680615013714,1
27,582,36,0.0584296157659748,1
27,583,36,0.0588014589116066,1
33,580,36,0.0579190884599965,1
38,589,36,0.0571663680615108,1
39,588,36,0.0577230330012399,1
39,589,36,0.0747694910981257,1
39,590,36,0.0697021589299013,1
40,588,36,0.0714073525650213,1
40,589,36,0.102076401090962,1
40,590,36,0.0939614022368544,1
40,591,36,0.0720151439470585,1
41,588,36,0.0734313405020586,1
41,589,36,0.104679485915426,1
41,590,36,0.0982283077876457,1
41,591,36,0.0809927938960194,1
42,589,36,0.0738064859323147,1
42,590,36,0.0736294834764528,1
43,585,36,0.0571485711061606,1
28,581,37,0.0582223679211165,1
30,578,37,0.0588044663493894,1
30,579,37,0.0570948323208371,1
31,579,37,0.0682170625649901,1
31,580,37,0.0570884813198722,1
39,589,37,0.0756832981199716,1
39,590,37,0.0737014261057676,1
40,588,37,0.06898602902444,1
40,589,37,0.099385935456564,1
40,590,37,0.0985766929185714,1
40,591,37,0.0790340791527432,1
41,588,37,0.0710660024797327,1
41,589,37,0.101338210744823,1
41,590,37,0.102058297494896,1
41,591,37,0.0834471638705908,1
42,589,37,0.0726123975029822,1
42,590,37,0.0732558417650881,1
43,586,37,0.0575573585610266,1
28,580,38,0.0616312514724651,1
28,581,38,0.063328307334761,1
29,580,38,0.0594410288862158,1
29,581,38,0.0600619940251293,1
30,578,38,0.0571428333866259,1
30,579,38,0.0595250897207145,1
31,578,38,0.0660846004749818,1
31,579,38,0.0704068251901668,1
32,579,38,0.0664797836965831,1
39,589,38,0.0706737559326723,1
39,590,38,0.0726057752429231,1
40,588,38,0.0647068519481073,1
40,589,38,0.0897035956595903,1
40,590,38,0.096377123687448,1
40,591,38,0.083841385891489,1
41,588,38,0.0663064019599342,1
41,589,38,0.0896595337476034,1
41,590,38,0.0986911642562977,1
41,591,38,0.0870269052696254,1
42,588,38,0.0595578766894842,1
42,590,38,0.0718785473023495,1
43,587,38,0.058964125914037,1
27,579,39,0.0576770074092888,1
27,580,39,0.058884010130277,1
27,581,39,0.0569405861441987,1
28,579,39,0.0617472619107038,1
28,580,39,0.071017034316304,1
28,581,39,0.0681183655332817,1
29,579,39,0.0602629203537068,1
29,580,39,0.0669039031872047,1
29,581,39,0.0623389546551976,1
30,579,39,0.0604161522572106,1
31,578,39,0.0604403473890204,1
31,579,39,0.0653680282992583,1
32,579,39,0.0600732984530306,1
39,589,39,0.0600452467245346,1
