x,y,z,signal,cytoplasm.p
102,940,42,0.0575135914958812,1
103,941,46,0.0596512723749833,1
102,940,47,0.0607261365355053,1
102,941,47,0.0658227352012124,1
103,940,47,0.0599830576287351,1
103,941,47,0.0672161931677996,1
102,940,48,0.0649440857167415,1
102,941,48,0.0672713000424674,1
103,940,48,0.0616780495631408,1
103,941,48,0.0656230413324322,1
102,940,49,0.0604353467865893,1
102,941,49,0.0568834920018195,1
103,940,49,0.0572589263819802,1
97,976,54,0.0588421064971695,1
97,977,54,0.0585125384916655,1
104,979,59,0.0657921949653746,1
105,978,59,0.0585332662246197,1
105,979,59,0.0823518373392719,1
106,978,59,0.0652124847965175,1
106,979,59,0.0913411455323438,1
107,979,59,0.0704629994104007,1
105,978,60,0.0861397700930574,1
106,978,60,0.11257253586116,1
107,978,60,0.0813560334108175,1
