x,y,z,signal,cytoplasm.p
240,453,3,0.0730294347724721,1
239,452,4,0.0656976729649412,1
239,453,4,0.0852114684004856,1
240,453,4,0.0718427705866075,1
239,453,5,0.0730011058879452,1
240,453,5,0.0605955842510461,1
253,453,5,0.0764861129968205,1
240,479,6,0.0580935257483378,1
240,480,6,0.0598468324910463,1
241,479,6,0.0571123403262827,1
253,452,6,0.089361408209272,1
253,453,6,0.0844465472397005,1
254,453,6,0.0801390235880304,1
240,479,7,0.0587051619331876,1
240,480,7,0.0575827094924549,1
241,479,7,0.059715112613095,1
253,452,7,0.0861694729638656,1
253,453,7,0.0833929002578896,1
254,452,7,0.0828383641123558,1
254,453,7,0.0809301743238313,1
241,479,8,0.057833335204628,1
242,479,8,0.0628529493600314,1
243,478,8,0.0625490035450497,1
243,479,8,0.069563398109376,1
244,479,8,0.0621579717669761,1
253,452,8,0.0704997962962142,1
253,453,8,0.0693663932437898,1
254,452,8,0.0689835405170981,1
254,453,8,0.0691129487958125,1
225,455,9,0.0571995678158586,1
242,479,9,0.0634431855611284,1
243,478,9,0.060300035674109,1
243,479,9,0.0788173018579691,1
243,480,9,0.0761157912608906,1
244,479,9,0.0752937877515999,1
245,479,9,0.0584077263364653,1
259,473,9,0.0680628576669095,1
224,455,10,0.107254819755172,1
225,455,10,0.0607587642869806,1
242,479,10,0.0658383325991254,1
242,480,10,0.0768257883520496,1
243,479,10,0.101125343119166,1
245,479,10,0.0833912078370196,1
259,473,10,0.0759860763414611,1
260,473,10,0.0827627300005859,1
223,455,11,0.117873563635921,1
224,454,11,0.0787579079102265,1
224,455,11,0.0995975883132336,1
224,456,11,0.0810085092326689,1
225,455,11,0.0622013260465435,1
225,456,11,0.0597976461409549,1
242,479,11,0.067378305858168,1
242,481,11,0.0658781192319112,1
243,442,11,0.0611267154543052,1
243,443,11,0.0598624593736434,1
244,442,11,0.0943925980516709,1
244,443,11,0.0917733438264214,1
245,442,11,0.0748785195631587,1
245,443,11,0.071678552689791,1
259,473,11,0.0708269760423025,1
260,473,11,0.0741630501146223,1
224,454,12,0.0629467932127295,1
224,455,12,0.0813897049201116,1
224,456,12,0.0759099822686186,1
224,457,12,0.0589084116548758,1
225,455,12,0.0594649291711841,1
225,456,12,0.0661798772833293,1
225,457,12,0.0591795999857719,1
242,479,12,0.0687747181901065,1
242,480,12,0.0937533406147137,1
243,442,12,0.0783142400740165,1
243,443,12,0.0794383790386823,1
243,479,12,0.121938133490233,1
244,441,12,0.0601768663545599,1
244,442,12,0.140004897288098,1
244,443,12,0.142650557996468,1
244,444,12,0.0662050984821473,1
245,442,12,0.104849329489977,1
245,443,12,0.106239544141308,1
223,455,13,0.0584709002207153,1
224,455,13,0.0596351560466294,1
224,456,13,0.062919242723864,1
225,456,13,0.0620762579133354,1
225,457,13,0.0586942349092433,1
242,479,13,0.0695778456046073,1
242,480,13,0.0928089166968511,1
243,442,13,0.0827395963174054,1
243,443,13,0.0889445242601396,1
243,479,13,0.119594867702458,1
244,441,13,0.0637331320480779,1
244,442,13,0.153571885499791,1
244,443,13,0.166860408560541,1
244,444,13,0.079538756697387,1
245,442,13,0.111637411412677,1
245,443,13,0.122108366262615,1
245,444,13,0.0576299026778981,1
242,479,14,0.0611910510351105,1
243,442,14,0.0700494826121977,1
243,443,14,0.0764826809795859,1
244,442,14,0.125674385489648,1
244,443,14,0.144498976433293,1
244,444,14,0.0717591343315605,1
245,442,14,0.0923473162757438,1
245,443,14,0.108084554148646,1
241,440,15,0.0629717785340743,1
241,441,15,0.0598735692026294,1
242,440,15,0.0695117586335637,1
242,441,15,0.0669725848104531,1
242,480,15,0.0575288055929002,1
243,479,15,0.0698077082022051,1
244,442,15,0.07951429620342,1
244,443,15,0.0910212602971131,1
245,442,15,0.0599437486478324,1
245,443,15,0.0710584602975283,1
245,479,15,0.0588098738404617,1
241,440,16,0.0628341735131676,1
241,441,16,0.0618865534555437,1
242,440,16,0.0733059303465144,1
242,441,16,0.0729377433017166,1
243,480,16,0.0576641520870014,1
242,441,17,0.0599289768210755,1
267,468,17,0.0985294348668231,1
268,467,17,0.113806800121109,1
268,468,17,0.108448395151001,1
266,467,18,0.0662235912760434,1
266,468,18,0.069884928589982,1
267,467,18,0.1034990724826,1
267,468,18,0.105777589903991,1
267,469,18,0.075457740286259,1
268,466,18,0.07173745129484,1
268,467,18,0.115681058935119,1
268,468,18,0.11546144521373,1
268,469,18,0.0838476720261488,1
269,467,18,0.115841031037418,1
269,468,18,0.0935201344539337,1
266,467,19,0.0641099404145198,1
266,468,19,0.0715199722645832,1
267,467,19,0.0971062445447437,1
267,468,19,0.10645794309371,1
267,469,19,0.077970678637417,1
268,466,19,0.0701350884441456,1
268,467,19,0.107562875735124,1
268,468,19,0.11243326200713,1
268,469,19,0.0832591105551112,1
269,467,19,0.0990061255492761,1
269,468,19,0.0875320250845314,1
266,467,20,0.0587374299715164,1
266,468,20,0.0681872004768876,1
266,469,20,0.0590985112074351,1
267,467,20,0.0839331186408023,1
267,468,20,0.0985184016980159,1
267,469,20,0.0764916443235661,1
268,467,20,0.0902524353641472,1
268,468,20,0.0995849216929247,1
268,469,20,0.0777594208755149,1
269,468,20,0.0785891316812412,1
220,438,21,0.0799937053737512,1
220,439,21,0.0761252263598171,1
221,437,21,0.0650111103007409,1
221,438,21,0.0957963579668985,1
221,439,21,0.090337351254486,1
222,438,21,0.0662914886066935,1
222,439,21,0.0594879272248176,1
266,468,21,0.0621006476440605,1
266,469,21,0.0570032941704392,1
267,467,21,0.0694529661733777,1
267,468,21,0.0859459082948012,1
267,469,21,0.0726339743948398,1
268,468,21,0.0841997014640349,1
220,438,22,0.0583640595192459,1
220,439,22,0.0574118339539584,1
221,438,22,0.0734152890400098,1
221,439,22,0.0739125541350595,1
267,468,22,0.0714617223225855,1
267,469,22,0.0685218811266225,1
267,468,23,0.0603136575981842,1
267,469,23,0.0647868556900676,1
267,470,23,0.0587530686479871,1
263,452,24,0.0611325770095133,1
264,452,24,0.0833542458369749,1
264,453,24,0.069210778977807,1
265,453,24,0.0693878462999741,1
267,470,24,0.0587482390567241,1
225,481,25,0.0584227222468216,1
226,481,25,0.0632161004207771,1
263,451,25,0.071168155116423,1
263,452,25,0.0977477958901275,1
263,453,25,0.0704546493478507,1
264,451,25,0.105642208028269,1
264,452,25,0.153831244575408,1
264,453,25,0.116510474894004,1
265,453,25,0.108655212519471,1
265,454,25,0.0702960748195797,1
223,476,26,0.0675028196793142,1
224,476,26,0.0573238811411526,1
225,480,26,0.0674867269387076,1
225,481,26,0.0703339685356434,1
226,480,26,0.0694732162544488,1
226,481,26,0.0740259227455987,1
263,451,26,0.0693818668060294,1
263,452,26,0.107850304230047,1
263,453,26,0.0751190379256067,1
264,451,26,0.115130792171849,1
264,452,26,0.189700601195069,1
264,453,26,0.145290026921168,1
264,454,26,0.073511786514281,1
265,452,26,0.153718801783951,1
265,453,26,0.133776505433721,1
265,454,26,0.0899059077683226,1
266,454,26,0.0833824744735757,1
266,455,26,0.058198992463526,1
223,475,27,0.0841932266273965,1
223,476,27,0.12213152943048,1
223,477,27,0.0832381587385575,1
224,475,27,0.0618947855793571,1
224,476,27,0.0906419634233294,1
224,477,27,0.0651787955964129,1
225,480,27,0.0656973840150365,1
225,481,27,0.064049862422105,1
226,480,27,0.0647360771670323,1
226,481,27,0.0646311057945377,1
261,446,27,0.0572764343874257,1
263,451,27,0.0615001566698177,1
263,452,27,0.0925938966892521,1
263,453,27,0.0711964545162658,1
264,451,27,0.100926816843878,1
264,452,27,0.165971339188693,1
264,453,27,0.139280034019193,1
264,454,27,0.0798714146977895,1
265,453,27,0.131578646314278,1
265,454,27,0.0937443477860493,1
266,454,27,0.0836578142479995,1
266,455,27,0.0601335415596766,1
222,476,28,0.090392416850596,1
223,475,28,0.0991036255028082,1
223,476,28,0.150451096797227,1
223,477,28,0.0900815244440297,1
224,475,28,0.0637966302638535,1
224,476,28,0.102223057909901,1
224,477,28,0.0618762515069032,1
233,498,28,0.0655225929104855,1
263,451,28,0.057165566078102,1
263,452,28,0.0716902581093968,1
263,453,28,0.0623907533483043,1
264,451,28,0.0809018454393043,1
264,452,28,0.116142989584689,1
264,453,28,0.109292069903138,1
264,454,28,0.0733513013784774,1
265,453,28,0.112246340903522,1
265,454,28,0.0846923492575473,1
222,476,29,0.0799155768577026,1
223,475,29,0.0944949747719607,1
223,476,29,0.139024791005482,1
223,477,29,0.082751685037905,1
224,475,29,0.0639918483575804,1
224,476,29,0.100653859431933,1
224,477,29,0.0614261265248653,1
232,497,29,0.0699345336225883,1
233,497,29,0.0609929316484637,1
233,498,29,0.0966800198476741,1
256,441,29,0.0860620543625869,1
256,442,29,0.0722671141608286,1
257,441,29,0.101265584070836,1
257,442,29,0.0848422199070586,1
258,442,29,0.063613577550805,1
263,452,29,0.05746526020163,1
264,452,29,0.0755910110585964,1
264,453,29,0.0743941215842701,1
264,454,29,0.0594612494826028,1
265,453,29,0.0821201407943202,1
265,454,29,0.067916100600044,1
223,475,30,0.0704177345233006,1
223,476,30,0.0966746300474123,1
223,477,30,0.0617853561226197,1
224,475,30,0.0586287317349458,1
224,476,30,0.0873810104292753,1
224,477,30,0.0595054352302631,1
232,497,30,0.094079588644783,1
255,441,30,0.06156801272191,1
256,441,30,0.136632498084911,1
256,442,30,0.104440341539259,1
257,442,30,0.130766815021017,1
261,447,30,0.0615627939328162,1
263,451,30,0.0714717883937527,1
263,452,30,0.070995021051121,1
263,453,30,0.0584200273466907,1
264,452,30,0.0789573776954073,1
264,453,30,0.0694496933734375,1
265,455,30,0.0589644620394363,1
213,438,31,0.058039279826447,1
213,439,31,0.076236572321024,1
214,430,31,0.0576889663971782,1
214,439,31,0.061585125632588,1
218,428,31,0.0622533370293761,1
219,428,31,0.075101948602676,1
220,428,31,0.0696352699754489,1
223,429,31,0.0625056433685454,1
224,476,31,0.0635774116372321,1
255,441,31,0.0736450336988711,1
255,442,31,0.0596073225047961,1
256,441,31,0.162066187124619,1
256,442,31,0.123255379445241,1
257,442,31,0.155044857762581,1
257,443,31,0.0685766105973333,1
260,446,31,0.0664652300564889,1
262,450,31,0.0583876236788149,1
262,451,31,0.0713951576996587,1
262,452,31,0.0737288468620229,1
263,451,31,0.106780257866915,1
263,452,31,0.124662931090849,1
263,453,31,0.092270850695881,1
264,453,31,0.102968230229246,1
264,454,31,0.0676443343693386,1
264,455,31,0.0587483039230292,1
265,455,31,0.0847691863444304,1
265,456,31,0.0689851857624735,1
266,462,31,0.0602002241213399,1
266,463,31,0.0576826212931501,1
212,438,32,0.0670902287001934,1
212,439,32,0.0881699203290812,1
213,430,32,0.0635126868585961,1
213,438,32,0.0775771288673173,1
213,439,32,0.105868214029181,1
213,440,32,0.119628244364911,1
214,429,32,0.0670151901790433,1
214,430,32,0.0639702596718491,1
214,438,32,0.0634129460690689,1
214,439,32,0.0871385932531683,1
214,440,32,0.100194499846821,1
215,428,32,0.07577557928441,1
