x,y,z,fucci_ch00,fucci_ch02,cellCycle
1,866,0,0.0131074998092622,0.00964370183871214,3
2,866,0,0.00155642023346304,0.00750743877317464,3
1,867,0,0.00241092545967803,0.0282597085526818,3
2,867,0,0.00228885328450446,0.0151522087434195,3
3,867,0,0.00120546272983902,0.00764476997024491,3
1,868,0,0.00236514839398795,0.00753795681696803,3
2,868,0,0.00177004654001678,0.00781261921110857,3
3,868,0,0.00247196154726482,0.00827038986800946,3
4,868,0,0.0156252384222171,0.00807202258335241,3
1,869,0,0.00137331197070268,0.012970168612192,3
2,869,0,0.00221255817502098,0.00817883573662928,3
3,869,0,0.0159456778820478,0.0146944380865187,3
4,869,0,0.00151064316777295,0.0171053635461967,3
1,870,0,0.00218204013122759,0.00749217975127794,3
2,870,0,0.00180056458381018,0.00753795681696803,3
3,870,0,0.00196841382467384,0.0097962920576791,3
4,870,0,0.00303654535744259,0.00733958953231098,3
5,870,0,0.0219729915312428,0.00819409475852598,3
0,871,0,0.00581368734264134,0.0076752880140383,3
1,871,0,0.00202944991226062,0.00773632410162509,3
2,871,0,0.037247272449836,0.0081025406271458,3
3,871,0,0.00183108262760357,0.00727855344472419,3
4,871,0,0.00178530556191348,0.015533684290837,3
5,871,0,0.0338597695887694,0.0116578927290761,3
6,871,0,0.0113832303349355,0.007690547035935,3
0,872,0,0.00242618448157473,0.00849927519645991,3
1,872,0,0.00201419089036393,0.00772106507972839,3
2,872,0,0.00750743877317464,0.00840772106507973,3
3,872,0,0.00270084687571527,0.0100862134737163,3
4,872,0,0.00871290150301366,0.0140688181887541,3
5,872,0,0.0288242923628595,0.0102845807583734,3
6,872,0,0.00692759594110018,0.0147402151522087,3
0,873,0,0.0205386434729534,0.0122835126268406,3
1,873,0,0.0021515220874342,0.00755321583886473,3
2,873,0,0.00230411230640116,0.0080872816052491,3
3,873,0,0.0545510032806897,0.01025406271458,3
4,873,0,0.00210574502174411,0.00964370183871214,3
5,873,0,0.00277714198519875,0.0076752880140383,3
6,873,0,0.00175478751812009,0.00776684214541848,3
0,874,0,0.00462348363469902,0.0134889753566796,3
1,874,0,0.0163729304951553,0.00740062561989776,3
2,874,0,0.00204470893415732,0.00782787823300526,3
3,874,0,0.00222781719691768,0.0170748455024033,3
4,874,0,0.00216678110933089,0.00717174029144732,3
5,874,0,0.00248722056916152,0.00819409475852598,3
6,874,0,0.0100251773861295,0.00761425192645151,3
7,874,0,0.00216678110933089,0.00775158312352178,3
0,875,0,0.00193789578088045,0.00819409475852598,3
1,875,0,0.00177004654001678,0.0240024414435035,3
2,875,0,0.00219729915312428,0.00787365529869535,3
3,875,0,0.0193484397650111,0.0158083466849775,3
4,875,0,0.00202944991226062,0.0317235065232319,3
5,875,0,0.00273136491950866,0.0125276569771878,3
6,875,0,0.0321507591363394,0.00843823910887312,3
7,875,0,0.0021515220874342,0.00794995040817884,3
0,876,0,0.00186160067139696,0.00924696726939803,3
1,876,0,0.00189211871519036,0.00833142595559625,3
2,876,0,0.0260624093995575,0.00752269779507134,3
3,876,0,0.00207522697795071,0.00915541313801785,3
4,876,0,0.0109254596780346,0.0277103837644007,3
5,876,0,0.00202944991226062,0.00720225833524071,3
6,876,0,0.0305943389028763,0.0115053025101091,3
7,876,0,0.00157167925535973,0.00791943236438544,3
0,877,0,0.0130464637216754,0.00776684214541848,3
1,877,0,0.00218204013122759,0.00967421988250553,3
2,877,0,0.00224307621881437,0.011459525444419,3
3,877,0,0.00158693827725643,0.00956740672922866,3
4,877,0,0.0202792401007095,0.00843823910887312,3
5,877,0,0.00190737773708705,0.00791943236438544,3
6,877,0,0.00387579156176089,0.0271610589761196,3
7,877,0,0.00265506981002518,0.00788891432059205,3
0,878,0,0.00228885328450446,0.0142214084077211,3
1,878,0,0.00187685969329366,0.011612115663386,3
2,878,0,0.00762951094834821,0.00787365529869535,3
3,878,0,0.00253299763485161,0.00833142595559625,3
4,878,0,0.00227359426260777,0.0167696650644694,3
5,878,0,0.00204470893415732,0.00770580605783169,3
6,878,0,0.0179903868162051,0.00802624551766232,3
7,878,0,0.00175478751812009,0.00772106507972839,3
0,879,0,0.00161745632104982,0.00845349813076982,3
1,879,0,0.00204470893415732,0.00799572747386892,3
2,879,0,0.0149385824368658,0.0102082856488899,3
3,879,0,0.0141145952544442,0.00840772106507973,3
4,879,0,0.00204470893415732,0.00778210116731518,3
5,879,0,0.0025482566567483,0.00746166170748455,3
6,879,0,0.00573739223315786,0.00964370183871214,3
7,879,0,0.00231937132829786,0.0159151598382544,3
0,880,0,0.00228885328450446,0.00778210116731518,3
1,880,0,0.00489814602883955,0.00756847486076143,3
2,880,0,0.0154726482032502,0.00750743877317464,3
3,880,0,0.0025787747005417,0.0223086900129702,3
4,880,0,0.0636148622873274,0.012314030670634,3
5,880,0,0.0437018387121385,0.0076600289921416,3
