x,y,z,signal,mito.p
743,27,13,0.0861091762971084,1
743,28,13,0.0818859857378023,1
744,28,13,0.0729885209807825,1
742,27,14,0.0814210998270373,1
742,28,14,0.0826519403231559,1
743,27,14,0.095698085760902,1
743,28,14,0.0972520200989898,1
744,28,14,0.0753548611750507,1
751,30,14,0.0717614622699696,1
742,27,15,0.0849730234945886,1
742,28,15,0.0995683200584158,1
742,29,15,0.0737929714037295,1
743,27,15,0.0884906063123495,1
743,28,15,0.101420505392238,1
743,29,15,0.0763900129417262,1
750,29,15,0.0713734871738502,1
750,30,15,0.07157737391815,1
751,28,15,0.0715361910225763,1
751,29,15,0.0765390202588025,1
751,30,15,0.0761775549800725,1
752,29,15,0.0728231673943258,1
752,30,15,0.0728246975245646,1
742,28,16,0.0970443142491346,1
742,29,16,0.0788725435134775,1
743,28,16,0.0881873170829021,1
743,29,16,0.0738668965983969,1
750,29,16,0.0727061124310573,1
750,30,16,0.0715836810403538,1
751,28,16,0.0718137043995456,1
751,29,16,0.0774541687624811,1
751,30,16,0.0774640772887836,1
752,29,16,0.0729842104919391,1
752,30,16,0.0736824474841632,1
758,27,16,0.0735907143103344,1
758,28,16,0.08437652150312,1
758,32,16,0.082178812857243,1
742,28,17,0.0835519554655703,1
742,29,17,0.0794297224018171,1
750,28,17,0.0730683800951565,1
750,29,17,0.0757748383853109,1
750,30,17,0.0727134458601287,1
751,29,17,0.075674160791631,1
751,30,17,0.0751675197414632,1
757,27,17,0.0724476075012822,1
757,28,17,0.0828443199904566,1
757,32,17,0.0779064901891714,1
758,27,17,0.088841572160823,1
758,28,17,0.102467680499367,1
758,32,17,0.0867265900685073,1
750,28,18,0.0721746471947795,1
750,29,18,0.0758633246974135,1
750,30,18,0.0719051141312101,1
751,29,18,0.0739520427481488,1
751,30,18,0.0735590729586076,1
757,27,18,0.0740151015301041,1
757,28,18,0.0875385916219823,1
757,32,18,0.0719200049108512,1
758,27,18,0.0849709335606039,1
758,28,18,0.100607583272603,1
758,32,18,0.0736224178624775,1
750,29,19,0.07243766165473,1
757,28,19,0.0784617097644004,1
758,28,19,0.081050068124294,1
747,29,23,0.0721626425144507,1
746,29,24,0.0733570086865029,1
747,29,24,0.0845733547202214,1
746,29,25,0.0825358805665469,1
747,29,25,0.0864806247426404,1
747,30,25,0.0718882391582919,1
746,29,26,0.072053766905914,1
747,29,26,0.0714974899236095,1
756,42,30,0.0836239897675849,1
755,42,31,0.0796690633833575,1
755,43,31,0.109583016251344,1
756,42,31,0.113687845638641,1
756,43,31,0.151184806748015,1
757,42,31,0.119830198939946,1
755,42,32,0.0953925386563461,1
755,43,32,0.142934842103716,1
755,44,32,0.110718820731533,1
756,42,32,0.124659053612028,1
756,43,32,0.189520863912166,1
757,42,32,0.122522170753164,1
757,43,32,0.180648646304087,1
758,21,32,0.0724658322232322,1
758,22,32,0.0840924584223236,1
758,23,32,0.0735674824548794,1
758,42,32,0.107735166286532,1
759,42,32,0.0889373545817472,1
754,43,33,0.0886372935539011,1
754,44,33,0.0852101190411037,1
754,45,33,0.080114517884098,1
755,42,33,0.101378781353043,1
755,43,33,0.1537561719542,1
755,44,33,0.142209659891189,1
756,20,33,0.0769967842219113,1
756,21,33,0.0723483480770918,1
756,42,33,0.117890018677309,1
756,43,33,0.189248637570575,1
756,44,33,0.189622760634004,1
757,20,33,0.0920211641369321,1
757,21,33,0.0909709349893669,1
757,22,33,0.0812201738225492,1
757,42,33,0.113351440907603,1
757,43,33,0.179110629052508,1
757,44,33,0.180497300251361,1
758,20,33,0.0743758515040477,1
758,21,33,0.0816466012159706,1
758,22,33,0.0885515502801535,1
758,23,33,0.0770048267357274,1
758,42,33,0.104137612393648,1
758,43,33,0.155030745562957,1
759,42,33,0.0883258498498884,1
759,43,33,0.11708229651247,1
753,43,34,0.0728306936446874,1
754,42,34,0.0792866303443225,1
754,43,34,0.103204506629809,1
754,44,34,0.0989652061627039,1
754,45,34,0.0908310275931823,1
755,42,34,0.0936900946045117,1
755,43,34,0.135255143315327,1
755,44,34,0.147034384455635,1
755,45,34,0.135914417966836,1
756,20,34,0.0920912204657111,1
756,21,34,0.0860218593528306,1
756,42,34,0.0989804203845093,1
756,43,34,0.151545544281876,1
756,44,34,0.174112017004501,1
756,45,34,0.146184801410685,1
757,19,34,0.0762120326707785,1
757,20,34,0.11078756463153,1
757,21,34,0.106703286261749,1
757,22,34,0.0892236008971526,1
757,42,34,0.0991666795308547,1
757,43,34,0.150435938616995,1
757,44,34,0.157861884587407,1
757,45,34,0.115188741681825,1
758,20,34,0.0843474241484163,1
758,21,34,0.0896868322768464,1
758,22,34,0.0860921085029,1
758,23,34,0.077820168451553,1
758,24,34,0.071908037550772,1
758,42,34,0.0934885341557783,1
758,43,34,0.131846747108184,1
758,44,34,0.115812437695261,1
759,25,34,0.0716873318139287,1
759,42,34,0.0799009216548276,1
759,43,34,0.0972357484701089,1
760,25,34,0.0773460582190639,1
760,26,34,0.0720316484379092,1
761,25,34,0.080424742459953,1
761,26,34,0.0780698969026007,1
762,26,34,0.0723201277482567,1
749,41,35,0.0770385518013973,1
749,42,35,0.0718472490840085,1
753,42,35,0.072605441057419,1
753,43,35,0.0884465684176717,1
753,44,35,0.0746040834912527,1
754,42,35,0.0848723832211584,1
754,43,35,0.108615376816424,1
754,44,35,0.100974833190041,1
754,45,35,0.0882333018506073,1
755,42,35,0.0848199855905418,1
755,43,35,0.111004557003525,1
755,44,35,0.129969613187419,1
755,45,35,0.132010782045817,1
756,19,35,0.0727962035138981,1
756,20,35,0.0971615309334853,1
756,21,35,0.0922338460200842,1
