x,y,z,signal,mito.p
297,253,46,0.160709021558907,1
297,254,46,0.172194676734697,1
298,251,46,0.164709366687052,1
298,252,46,0.178169984598224,1
298,253,46,0.18543867547637,1
298,254,46,0.192627364179185,1
298,255,46,0.163191738731907,1
299,239,46,0.172649934021032,1
299,240,46,0.170032826628766,1
299,241,46,0.160866712054087,1
299,250,46,0.168399941302381,1
299,251,46,0.188094620808519,1
299,252,46,0.191670336135272,1
299,253,46,0.181625416760106,1
299,254,46,0.187524267872026,1
300,238,46,0.179688557999696,1
300,239,46,0.179729834195894,1
300,240,46,0.153875211110746,1
300,245,46,0.157468914797866,1
300,246,46,0.169089059713588,1
300,251,46,0.192359516746895,1
300,252,46,0.176430164316288,1
300,253,46,0.163340397726653,1
300,254,46,0.181238455530771,1
301,238,46,0.196393636701043,1
301,245,46,0.170940181420293,1
301,252,46,0.162140315336351,1
302,252,46,0.160505414716481,1
303,251,46,0.175596877780385,1
303,252,46,0.190970357531393,1
304,251,46,0.191438067341054,1
304,252,46,0.21254076522889,1
304,253,46,0.186230685816075,1
305,252,46,0.180515910615892,1
296,253,47,0.15438111197596,1
296,254,47,0.170592692575086,1
297,251,47,0.161103098515857,1
297,252,47,0.171578693572871,1
297,253,47,0.199380749489186,1
297,254,47,0.22076510330171,1
297,255,47,0.174967011485661,1
298,239,47,0.164086827601358,1
298,240,47,0.201479030769749,1
298,241,47,0.181659452827857,1
298,250,47,0.172814628283077,1
298,251,47,0.202772102782287,1
298,252,47,0.216598496461032,1
298,253,47,0.230347848704258,1
298,254,47,0.245110570128401,2
298,255,47,0.194862710296912,1
298,256,47,0.131116402261111,1
299,238,47,0.185779260075378,1
299,239,47,0.205065469448256,1
299,240,47,0.227909045025103,1
299,241,47,0.214772764964225,1
299,242,47,0.169687154035712,1
299,245,47,0.152192167368728,1
299,246,47,0.181420217587025,1
299,249,47,0.173989718546146,1
299,250,47,0.190680516031931,1
299,251,47,0.213553711446978,1
299,252,47,0.224035153343116,1
299,253,47,0.228422621421678,1
299,254,47,0.23529522004939,1
299,255,47,0.185634507266771,1
300,237,47,0.183253624615192,1
300,238,47,0.221758244907277,1
300,239,47,0.213556124823127,1
300,240,47,0.197620639431482,1
300,241,47,0.183113101434887,1
300,242,47,0.157812995060265,1
300,244,47,0.168009559050154,1
300,245,47,0.195989234475002,1
300,246,47,0.197207815269086,1
300,247,47,0.168202566941658,1
300,250,47,0.182818719305041,1
300,251,47,0.196651780868404,1
300,252,47,0.19571443303618,1
300,253,47,0.193666185770417,1
300,254,47,0.199956588502389,1
300,255,47,0.168132218270923,1
301,237,47,0.192808641072192,1
301,238,47,0.222250449240842,1
301,239,47,0.191582409626915,1
301,240,47,0.152098555742329,1
301,244,47,0.168977509487155,1
301,245,47,0.195053864616013,1
301,246,47,0.184754943621207,1
301,251,47,0.181586118537144,1
301,252,47,0.179104620492302,1
301,253,47,0.163454883812732,1
301,254,47,0.159627418521405,1
302,238,47,0.164228768951152,1
302,245,47,0.15914530309535,1
302,251,47,0.171413091184749,1
302,252,47,0.183143579638831,1
302,253,47,0.160035415931503,1
303,250,47,0.159287704728224,1
303,251,47,0.191009294991942,1
303,252,47,0.222495618401381,1
303,253,47,0.184290580193938,1
304,250,47,0.16627998939681,1
304,251,47,0.206004185689637,1
304,252,47,0.242150477201061,1
304,253,47,0.19502012711026,1
304,254,47,0.136799816011441,1
305,251,47,0.168274308901717,1
305,252,47,0.186683977569258,1
305,253,47,0.163986461009759,1
306,252,47,0.151036172633436,1
313,250,47,0.168386232330648,1
314,250,47,0.168469456487539,1
314,251,47,0.150435664935164,1
315,250,47,0.160072412739066,1
295,254,48,0.14329732124923,1
296,252,48,0.149440657317111,1
296,253,48,0.183344188421196,1
296,254,48,0.214618035208857,1
296,255,48,0.164184320533728,1
297,240,48,0.178412802583031,1
297,241,48,0.16137552389878,1
297,250,48,0.161255999578988,1
297,251,48,0.191330037658178,1
297,252,48,0.206591581540172,1
297,253,48,0.244744209676915,2
297,254,48,0.281484602243742,2
297,255,48,0.209724877746495,1
