x,y,z,signal,mito.p
961,103,18,0.0725120409124357,1
949,107,19,0.0757206431626658,1
950,106,19,0.0721207132138825,1
950,107,19,0.07433772264891,1
951,106,19,0.0742726299133447,1
956,103,19,0.0735320904180551,1
956,104,19,0.0755807357664812,1
956,105,19,0.072592453610514,1
957,103,19,0.0791291513305582,1
957,104,19,0.0814610262742035,1
957,105,19,0.0758852316840032,1
958,103,19,0.0785204082971792,1
958,104,19,0.0804206807727744,1
958,105,19,0.0750389825813621,1
959,103,19,0.0755851271158658,1
959,104,19,0.0751236808881173,1
960,102,19,0.0724823713139028,1
960,103,19,0.076243089338593,1
960,104,19,0.0728736865723728,1
960,105,19,0.0717505274367996,1
960,106,19,0.0718475911862977,1
961,102,19,0.0742848833953383,1
961,103,19,0.0766484929913348,1
961,104,19,0.0727382389460306,1
961,105,19,0.0743914327083087,1
961,106,19,0.0762262392458412,1
962,102,19,0.071430133092894,1
962,103,19,0.0742849020554632,1
963,103,19,0.0724968453507552,1
964,104,19,0.073936082121349,1
964,105,19,0.0763154470827718,1
964,106,19,0.0772507671814278,1
964,107,19,0.0762761301996845,1
965,104,19,0.0800480567393759,1
965,105,19,0.0867552209200894,1
965,106,19,0.086876001688289,1
965,107,19,0.078901578667765,1
966,104,19,0.0795848191396406,1
966,105,19,0.0847110166813808,1
966,106,19,0.0827894219031083,1
966,107,19,0.0716999336182531,1
939,105,20,0.0720285632972651,1
940,104,20,0.0750123234829738,1
940,105,20,0.0785022644357703,1
947,107,20,0.0756973242266281,1
947,108,20,0.0733663760691843,1
948,106,20,0.0784426017965402,1
948,107,20,0.0948253703811629,1
948,108,20,0.0894029433572153,1
949,105,20,0.0779648714998275,1
949,106,20,0.0917155610520016,1
949,107,20,0.107733884957958,1
949,108,20,0.0989964245516005,1
949,109,20,0.0729946912620707,1
950,104,20,0.0765667492043496,1
950,105,20,0.0929299557580739,1
950,106,20,0.100991813903666,1
950,107,20,0.101770936317132,1
950,108,20,0.0898787952013584,1
951,104,20,0.081745761119495,1
951,105,20,0.102110171167108,1
951,106,20,0.103095487960315,1
951,107,20,0.0893733421791403,1
951,108,20,0.0762202742259266,1
952,104,20,0.0751575552347861,1
952,105,20,0.0876867094731068,1
952,106,20,0.0860737282799094,1
952,107,20,0.0755282386151987,1
953,105,20,0.0724664293472278,1
953,106,20,0.0727410939451347,1
954,106,20,0.073317175539961,1
954,107,20,0.0748908211899462,1
955,102,20,0.0722062823264647,1
955,103,20,0.0763709920544487,1
955,104,20,0.0777416217659611,1
955,105,20,0.0777554675786098,1
955,106,20,0.0802868565772952,1
955,107,20,0.0798702755097602,1
955,108,20,0.0715865422594995,1
956,101,20,0.0723227588258624,1
956,102,20,0.0810815228747721,1
956,103,20,0.0877753388461666,1
956,104,20,0.088189108454889,1
956,105,20,0.0855829545559172,1
956,106,20,0.0851448272642065,1
956,107,20,0.0817650494685622,1
956,108,20,0.0733388212848026,1
957,101,20,0.0734985892738835,1
957,102,20,0.0827825860773666,1
957,103,20,0.0908323400219644,1
957,104,20,0.092652697402811,1
957,105,20,0.0888845464283836,1
957,106,20,0.0845259393429434,1
957,107,20,0.0787582813488969,1
957,108,20,0.0721496364074209,1
958,101,20,0.0717296156568693,1
958,102,20,0.0795198010445747,1
958,103,20,0.086488561515749,1
958,104,20,0.089041515398735,1
958,105,20,0.0861652935126144,1
958,106,20,0.080058071006386,1
958,107,20,0.0730742144941971,1
959,102,20,0.0793831218499915,1
959,103,20,0.0833153450823016,1
959,104,20,0.0834943329999919,1
959,105,20,0.0815500350698022,1
959,106,20,0.077502653986918,1
960,101,20,0.0741048753908222,1
960,102,20,0.0827976572382147,1
960,103,20,0.0834054859254754,1
960,104,20,0.0804443542511845,1
960,105,20,0.0803843619497484,1
960,106,20,0.0799223185980043,1
960,107,20,0.0725615959840314,1
961,101,20,0.0771541077346351,1
